objectid,bevoegd_gezag_nummer,brin_nummer,vestigingsnummer,vestigingsnaam,denominatie,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_3_jaar,lftd_4_jaar,lftd_5_jaar,lftd_6_jaar,lftd_7_jaar,lftd_8_jaar,lftd_9_jaar,lftd_10_jaar,lftd_11_jaar,lftd_12_jaar,lftd_13_jaar,lftd_14_jaar
1,10249,16AH,16AH00,Openbare Basisschool 't Eenspan,Openbaar,Oosterstraat,58,7822HG,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-eenspan.nl,257488,534033,pc6hnrgeentoev,,228,0,30,37,23,22,33,22,24,34,3,0,0
2,10249,16BX,16BX00,Openbare Basisschool 2 Emmen Mr Vegter,Openbaar,Bargermeerweg,113,7811LD,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-mr-vegter.nl,256919,533182,pc6hnrgeentoev,,70,0,8,7,6,11,12,6,7,12,1,0,0
3,10249,16DJ,16DJ00,Openbare Basisschool De Esdoorn,Openbaar,Buiskoolstraat,1,7814RC,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-esdoorn.nl,258145,537834,pc6hnrgeentoev,,113,0,7,8,16,18,12,15,19,17,1,0,0
4,10249,16HI,16HI00,Openbare Basisschool Emmermeer,Openbaar,Middenhaag,4,7815LB,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-emmermeer.nl,256841,535627,pc6hnrgeentoev,,96,0,9,14,8,10,16,7,18,6,8,0,0
5,10249,16MA,16MA00,Openbare Basisschool Smedingeslag 1,Openbaar,Smedingeslag,1,7824HK,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-angelslo.nl,259240,533798,pc6hnrgeentoev,,372,0,44,51,46,45,45,41,48,39,13,0,0
6,10249,16NR,16NR00,De Hasselbraam,Openbaar,Het Waal,33,7823NN,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obshasselbraam.nl,259683,535178,pc6hnrgeentoev,,243,0,30,31,24,41,32,34,28,19,4,0,0
7,10249,16UA,16UA00,Openbare Basisschool De Iemenkorf,Openbaar,Laan van het Kinholt,187,7823GD,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.iemenkorf.emmen.nl,260044,534843,pc6hnrgeentoev,,151,0,23,14,18,21,22,10,21,19,3,0,0
8,10249,16WN,16WN00,Openbare Basisschool op 't Veld,Openbaar,Barnar,5-A,7826EP,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-optveld.nl,261150,532766,pc6hnrtoev,,90,0,5,9,5,8,16,13,17,11,6,0,0
9,10249,16XQ,16XQ00,Openbare Basisschool De Brink,Openbaar,Rolderbrink,128 -130,7812PK,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-brink.nl,255954,531704,pc6hnr,,192,0,26,23,24,24,28,26,18,19,4,0,0
10,10249,16YK,16YK00,Openbare Basisschool De Barg,Openbaar,Mantingerbrink,203,7812MD,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-barg.nl,256294,532079,pc6hnrgeentoev,,123,0,19,13,11,11,18,9,20,19,3,0,0
11,10249,16ZA,16ZA00,Openbare Basisschool Het Rietveld,Openbaar,Kuifleeuwerik,1,7827DV,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-rietveld.nl,256910,529853,pc6hnrgeentoev,,75,0,6,7,9,9,13,10,13,7,0,1,0
12,10249,16ZQ,16ZQ00,Openbare Basisschool De Meent,Openbaar,Eerste Koppelveenweg,2,7881EG,EMMER-COMPASCUUM,114,EMMEN,Drenthe,GGD Drenthe,www.obs-meent.nl,267353,537452,pc6hnrgeentoev,,95,0,11,15,6,9,18,9,10,15,2,0,0
