objectid,bevoegd_gezag_nummer,brinnummer,vestigingsnummer,vestigingsnaam,denominatie,soort_primair_onderwijs,cluster,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_1tm6,lftd_7tm9,lftd_10tm12,lftd_13tm15,lftd_16tm20,lftd_21tm27
1,10249,00SU,00SU00,Openbare School voor Zeer Moeilijk Lerende Kinderen te Emmen,Openbaar,(V)SO,3,Zuidlaarderbrink,4,7812GE,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.zml-triantaschool.nl,255912,531359,pc6hnrgeentoev,,150,5,20.75,43.75,50.75,29.75,0
2,13785,20BG,20BG00,W A van`` Lieflandschool,Openbaar,(V)SO,3,Witterhoofdweg,1-g,9405HX,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.so-liefland-assen.nl,231697,556305,pc6hnrtoev,,145,10.25,23.75,37,47.5,26.5,0
3,41414,06SV,06SV00,De Aventurijn,Algemeen bijzonder,(V)SO,4,Elzenlaan,10,9422ES,SMILDE,1731,MIDDEN-DRENTHE,Drenthe,GGD Drenthe,www.renn4.nl,226008,551268,pc6hnrgeentoev,,146,4.75,32,38.5,41.25,29.5,0
4,41629,19SK,19SK00,Openbare Mackayschool voor ZML,Openbaar,(V)SO,3,Colijnstraat,4,7942BH,MEPPEL,119,MEPPEL,Drenthe,GGD Drenthe,www.mackayschool.nl,210034,524605,pc6hnrgeentoev,,104,3.5,15,25.75,29,30.75,0
5,42599,16QX,16QX00,G J Vd Ploegschool voor BUO,Protestants-Christelijk,(V)SO,3,van Goghlaan,3,7901GK,HOOGEVEEN,118,HOOGEVEEN,Drenthe,GGD Drenthe,www.4provincien.nl,228157,526622,pc6hnrgeentoev,,136,7.25,19.5,29.25,42,38,0
6,96240,14XF,14XF01,De Ambelt Oosterenk,Algemeen bijzonder,(V)SO,4,Randweg,1,7944BK,MEPPEL,119,MEPPEL,Drenthe,GGD Drenthe,                                                                                ,209246,522172,pc6hnrgeentoev,,76,0,0,11.75,45.25,19,0
7,30882,23HU,23HU00,Eduvierschool De Anger,Algemeen bijzonder,(V)SO,4,Schoener,1109,8243TC,LELYSTAD,995,LELYSTAD,Flevoland,GGD Flevoland,www.eduvier.nl,159572,501767,pc6,,469,6.25,20.25,83.5,227.25,131.75,0
8,30882,23HU,23HU01,Eduvierschool Aquarius,Algemeen bijzonder,(V)SO,4,Radioweg,35,1324KW,ALMERE,34,ALMERE,Flevoland,GGD Flevoland,                                                                                ,142115,485354,pc6hnrgeentoev,,366,0,6,55.75,193.5,110.75,0
9,30882,23HU,23HU02,Eduvierschool De Stedenschool,Algemeen bijzonder,(V)SO,4,Bosvalkweg,1,8239AC,LELYSTAD,995,LELYSTAD,Flevoland,GGD Flevoland,                                                                                ,161341,500162,pc6hnrgeentoev,,62,0,0,0,2,46,14
10,30882,23HU,23HU03,Eduvierschool De Optimist,Algemeen bijzonder,(V)SO,4,Hoefbladstraat,1-A,8302VM,EMMELOORD,171,NOORDOOSTPOLDER,Flevoland,GGD Flevoland,                                                                                ,179197,525055,pc6hnrtoev,,199,14,43.75,61.5,68,11.75,0
11,30882,23HU,23HU09,Eduvierschool De Anger,Algemeen bijzonder,(V)SO,4,Radioweg,35,1324KW,ALMERE,34,ALMERE,Flevoland,GGD Flevoland,                                                                                ,142115,485354,pc6hnrgeentoev,,15,0,0,0,10.25,4.75,0
12,41880,30EF,30EF00,Almere Speciaal,Algemeen bijzonder,(V)SO,3 en 4,Marathonlaan,7,1318ED,ALMERE,34,ALMERE,Flevoland,GGD Flevoland,www.almere-speciaal.nl,145805,489024,pc6hnrgeentoev,,306,22.75,67,94.5,69.25,52.5,0
13,42552,15MR,15MR00,De Zevenster,Openbaar,(V)SO,3,de Doelen,1011,8233GP,LELYSTAD,995,LELYSTAD,Flevoland,GGD Flevoland,www.de-zevenster.nl,161242,501390,pc6,,137,8.5,20.25,26.5,32.25,49.5,0
14,84202,14WS,14WS00,Zonnebloemschool,Protestants-Christelijk,(V)SO,3,Geneveplein,1,8303JZ,EMMELOORD,171,NOORDOOSTPOLDER,Flevoland,GGD Flevoland,www.zonnebloemschool.nl,178845,525162,pc6hnrgeentoev,,202,12.75,35.5,45.25,56.5,52,0
15,41346,00LD,00LD00,School Lyndensteyn,Algemeen bijzonder,(V)SO,3,Hoofdstraat,1,9244CL,BEETSTERZWAAG,86,OPSTERLAND,Friesland,GGD Frysl‰n,www.schoollyndensteyn.nl,200934,563923,pc6hnrgeentoev,,231,33.25,43.75,56.75,61,36.25,0
16,41410,26LD,26LD00,Openbaar ZML-School Leeuwarden-Franeker It Twaluk,Openbaar,(V)SO,3,Haydnstraat,2,8915BH,LEEUWARDEN,80,LEEUWARDEN,Friesland,GGD Frysl‰n,                                                                                ,181133,580505,pc6hnrgeentoev,,135,13.25,29.25,29.25,25.5,37.75,0
17,41410,26LD,26LD01,Openbaar ZML-School Leeuwarden-Franeker It Twaluk,Openbaar,(V)SO,3,Harlingerweg,22,8801PA,FRANEKER,70,FRANEKERADEEL,Friesland,GGD Frysl‰n,                                                                                ,164617,577607,pc6hnrgeentoev,,26,7.75,9.5,8.75,0,0,0
18,41414,00MU,00MU00,De Witakker,Algemeen bijzonder,(V)SO,4,Marderleane,3,8572WG,RIJS,653,GAASTERLAN-SLEAT,Friesland,GGD Frysl‰n,www.renn4.nl,162527,541791,pc6hnrgeentoev,,111,22.75,16,25.5,37.5,9.25,0
19,41414,23JT,23JT00,(V)SO Leeuwarden,Algemeen bijzonder,(V)SO,4,Melkemastate,29,8925AX,LEEUWARDEN,80,LEEUWARDEN,Friesland,GGD Frysl‰n,www.renn4.nl,185291,579787,pc6hnrgeentoev,,252,0,0,22.75,139,90.25,0
20,41414,23JT,23JT01,de Zwaai,Algemeen bijzonder,(V)SO,4,Splitting,17,9202LC,DRACHTEN,90,SMALLINGERLAND,Friesland,GGD Frysl‰n,                                                                                ,203491,568859,pc6hnrgeentoev,,271,35.75,38.25,48.5,96.5,52,0
21,41546,02XF,02XF00,De Wingerd,Protestants-Christelijk,(V)SO,3,De Klimmer,21,9104JT,DAMWALD,1891,DANTUMADIEL,Friesland,GGD Frysl‰n,www.dewingerd-damwald.nl,195874,590069,pc6hnrgeentoev,,199,11,31.5,42.75,64.25,49.5,0
22,41546,08ST,08ST00,Christelijke Piet Bakkerschool,Protestants-Christelijk,(V)SO,3,Plevierenpad,3,8601XC,SNEEK,1900,SUDWEST-FRYSLAN,Friesland,GGD Frysl‰n,www.pietbakkerschool.nl,172339,560517,pc6hnrgeentoev,,102,3.25,8.25,22,36.5,32,0
23,41573,19TX,19TX00,Meester Duisterhoutschool,Openbaar,(V)SO,3,Gooilandlaan,85,8443BH,HEERENVEEN,74,HEERENVEEN,Friesland,GGD Frysl‰n,www.duisterhout.nl,192033,550670,pc6hnrgeentoev,,81,4.75,12.25,21.25,19.5,23.25,0
24,41573,19TX,19TX01,Meester Duisterhoutschool,Openbaar,(V)SO,3,Boekhorsterweg,15,8431CW,OOSTERWOLDE FR,85,OOSTSTELLINGWERF,Friesland,GGD Frysl‰n,www.duisterhout.nl,215726,555621,pc6hnrgeentoev,,37,1.25,4.25,5,13,13.5,0
