PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;738;Aalburg;4261;Aalburg;04YT;00;Oranje Nassau;4264SG;VEEN;Noord-Brabant;Bo;Reformatorisch;53262;0;2;2;2;2;4;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;738;Aalburg;4264;Aalburg;04YT;00;Oranje Nassau;4264SG;VEEN;Noord-Brabant;Bo;Reformatorisch;53262;0;30;32;40;31;31;25;29;21;4;0;0;0;0;0;0;0;0;0;0;0;0;0;243
20171001;738;Aalburg;4266;Aalburg;04YT;00;Oranje Nassau;4264SG;VEEN;Noord-Brabant;Bo;Reformatorisch;53262;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;738;Aalburg;4281;Woudrichem;04YT;00;Oranje Nassau;4264SG;VEEN;Noord-Brabant;Bo;Reformatorisch;53262;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;738;Aalburg;4283;Woudrichem;04YT;00;Oranje Nassau;4264SG;VEEN;Noord-Brabant;Bo;Reformatorisch;53262;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;738;Aalburg;4265;Aalburg;05AY;00;Chr Basisschool De Ark;4268GK;MEEUWEN;Noord-Brabant;Bo;Protestants-Christelijk;41239;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;738;Aalburg;4267;Aalburg;05AY;00;Chr Basisschool De Ark;4268GK;MEEUWEN;Noord-Brabant;Bo;Protestants-Christelijk;41239;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;738;Aalburg;4268;Aalburg;05AY;00;Chr Basisschool De Ark;4268GK;MEEUWEN;Noord-Brabant;Bo;Protestants-Christelijk;41239;0;7;5;7;3;1;5;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;738;Aalburg;4269;Aalburg;05AY;00;Chr Basisschool De Ark;4268GK;MEEUWEN;Noord-Brabant;Bo;Protestants-Christelijk;41239;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;738;Aalburg;4271;Werkendam;05AY;00;Chr Basisschool De Ark;4268GK;MEEUWEN;Noord-Brabant;Bo;Protestants-Christelijk;41239;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;738;Aalburg;4261;Aalburg;06OW;00;Basissch Het Fundament;4265HS;GENDEREN;Noord-Brabant;Bo;Protestants-Christelijk;41239;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;738;Aalburg;4265;Aalburg;06OW;00;Basissch Het Fundament;4265HS;GENDEREN;Noord-Brabant;Bo;Protestants-Christelijk;41239;0;22;15;15;26;18;8;16;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;137
