PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;59;Achtkarspelen;9231;Achtkarspelen;03HS;00;GBS Oranje Nassau;9288BA;KOOTSTERTILLE;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;3;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;59;Achtkarspelen;9251;Tytsjerksteradiel;03HS;00;GBS Oranje Nassau;9288BA;KOOTSTERTILLE;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;1;3;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;59;Achtkarspelen;9257;Tytsjerksteradiel;03HS;00;GBS Oranje Nassau;9288BA;KOOTSTERTILLE;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;59;Achtkarspelen;9258;Tytsjerksteradiel;03HS;00;GBS Oranje Nassau;9288BA;KOOTSTERTILLE;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9284;Achtkarspelen;03HS;00;GBS Oranje Nassau;9288BA;KOOTSTERTILLE;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;2;0;1;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;59;Achtkarspelen;9286;Achtkarspelen;03HS;00;GBS Oranje Nassau;9288BA;KOOTSTERTILLE;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;59;Achtkarspelen;9288;Achtkarspelen;03HS;00;GBS Oranje Nassau;9288BA;KOOTSTERTILLE;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;5;1;3;5;3;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;59;Achtkarspelen;9289;Achtkarspelen;03HS;00;GBS Oranje Nassau;9288BA;KOOTSTERTILLE;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;1;0;1;2;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;59;Achtkarspelen;9289;Achtkarspelen;04JU;00;De Tarissing;9289JB;DROGEHAM;Friesland;Bo;Protestants-Christelijk;41005;0;17;9;14;16;15;20;20;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;123
20171001;59;Achtkarspelen;9001;Leeuwarden;04JW;00;Chr Basisschool De Oanrin;9286EM;TWIJZEL;Friesland;Bo;Protestants-Christelijk;41005;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9285;Achtkarspelen;04JW;00;Chr Basisschool De Oanrin;9286EM;TWIJZEL;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;59;Achtkarspelen;9286;Achtkarspelen;04JW;00;Chr Basisschool De Oanrin;9286EM;TWIJZEL;Friesland;Bo;Protestants-Christelijk;41005;0;5;14;13;8;7;10;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
20171001;59;Achtkarspelen;9288;Achtkarspelen;04JW;00;Chr Basisschool De Oanrin;9286EM;TWIJZEL;Friesland;Bo;Protestants-Christelijk;41005;0;1;0;1;1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;59;Achtkarspelen;8408;Opsterland;05QE;00;Chr Basissch Merlettes;9288AM;KOOTSTERTILLE;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9261;Tytsjerksteradiel;05QE;00;Chr Basissch Merlettes;9288AM;KOOTSTERTILLE;Friesland;Bo;Protestants-Christelijk;41005;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;59;Achtkarspelen;9288;Achtkarspelen;05QE;00;Chr Basissch Merlettes;9288AM;KOOTSTERTILLE;Friesland;Bo;Protestants-Christelijk;41005;0;12;13;10;20;13;14;18;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;114
20171001;59;Achtkarspelen;9289;Achtkarspelen;05QE;00;Chr Basissch Merlettes;9288AM;KOOTSTERTILLE;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;59;Achtkarspelen;9283;Achtkarspelen;07MY;00;Joh Looijengaskoalle;9283TJ;SURHUIZUM;Friesland;Bo;Protestants-Christelijk;41005;0;10;13;11;12;19;14;13;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;108
20171001;59;Achtkarspelen;9284;Achtkarspelen;07MY;00;Joh Looijengaskoalle;9283TJ;SURHUIZUM;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9872;Achtkarspelen;07MY;00;Joh Looijengaskoalle;9283TJ;SURHUIZUM;Friesland;Bo;Protestants-Christelijk;41005;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9281;Achtkarspelen;07XB;00;De Twa-ikker;9284TJ;AUGUSTINUSGA;Friesland;Bo;Protestants-Christelijk;41005;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;59;Achtkarspelen;9283;Achtkarspelen;07XB;00;De Twa-ikker;9284TJ;AUGUSTINUSGA;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;59;Achtkarspelen;9284;Achtkarspelen;07XB;00;De Twa-ikker;9284TJ;AUGUSTINUSGA;Friesland;Bo;Protestants-Christelijk;41005;0;9;10;12;10;14;8;20;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;93
20171001;59;Achtkarspelen;9363;Marum;07XB;00;De Twa-ikker;9284TJ;AUGUSTINUSGA;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9283;Achtkarspelen;07YK;00;Basisschool De Claercamp;9873TH;GERKESKLOOSTER;Friesland;Bo;Protestants-Christelijk;41005;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;59;Achtkarspelen;9284;Achtkarspelen;07YK;00;Basisschool De Claercamp;9873TH;GERKESKLOOSTER;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;59;Achtkarspelen;9866;Grootegast;07YK;00;Basisschool De Claercamp;9873TH;GERKESKLOOSTER;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;59;Achtkarspelen;9871;Achtkarspelen;07YK;00;Basisschool De Claercamp;9873TH;GERKESKLOOSTER;Friesland;Bo;Protestants-Christelijk;41005;0;1;1;2;0;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;59;Achtkarspelen;9872;Achtkarspelen;07YK;00;Basisschool De Claercamp;9873TH;GERKESKLOOSTER;Friesland;Bo;Protestants-Christelijk;41005;0;1;2;1;2;7;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;59;Achtkarspelen;9873;Achtkarspelen;07YK;00;Basisschool De Claercamp;9873TH;GERKESKLOOSTER;Friesland;Bo;Protestants-Christelijk;41005;0;9;8;9;13;9;10;4;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;59;Achtkarspelen;9108;Dantumadiel;08PH;00;Basisschool De Reinboge;9287LV;TWIJZELERHEIDE;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9256;Tytsjerksteradiel;08PH;00;Basisschool De Reinboge;9287LV;TWIJZELERHEIDE;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9269;Dantumadiel;08PH;00;Basisschool De Reinboge;9287LV;TWIJZELERHEIDE;Friesland;Bo;Protestants-Christelijk;41005;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9271;Dantumadiel;08PH;00;Basisschool De Reinboge;9287LV;TWIJZELERHEIDE;Friesland;Bo;Protestants-Christelijk;41005;0;0;2;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;59;Achtkarspelen;9286;Achtkarspelen;08PH;00;Basisschool De Reinboge;9287LV;TWIJZELERHEIDE;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;59;Achtkarspelen;9287;Achtkarspelen;08PH;00;Basisschool De Reinboge;9287LV;TWIJZELERHEIDE;Friesland;Bo;Protestants-Christelijk;41005;0;15;13;19;27;13;18;11;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;129
20171001;59;Achtkarspelen;9298;Kollumerland en Nieuwkruisland;08PH;00;Basisschool De Reinboge;9287LV;TWIJZELERHEIDE;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9299;Kollumerland en Nieuwkruisland;08PH;00;Basisschool De Reinboge;9287LV;TWIJZELERHEIDE;Friesland;Bo;Protestants-Christelijk;41005;0;5;3;7;1;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;59;Achtkarspelen;9231;Achtkarspelen;10BP;00;Basisschool De Wijnroas;9281RB;HARKEMA;Friesland;Bo;Protestants-Christelijk;41005;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9281;Achtkarspelen;10BP;00;Basisschool De Wijnroas;9281RB;HARKEMA;Friesland;Bo;Protestants-Christelijk;41005;0;30;28;28;36;32;31;40;31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;257
20171001;59;Achtkarspelen;9283;Achtkarspelen;10BP;00;Basisschool De Wijnroas;9281RB;HARKEMA;Friesland;Bo;Protestants-Christelijk;41005;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;59;Achtkarspelen;9204;Smallingerland;10LV;00;De Waldiik;9233KN;BOELENSLAAN;Friesland;Bo;Openbaar;41492;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9223;Smallingerland;10LV;00;De Waldiik;9233KN;BOELENSLAAN;Friesland;Bo;Openbaar;41492;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9231;Achtkarspelen;10LV;00;De Waldiik;9233KN;BOELENSLAAN;Friesland;Bo;Openbaar;41492;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;59;Achtkarspelen;9233;Achtkarspelen;10LV;00;De Waldiik;9233KN;BOELENSLAAN;Friesland;Bo;Openbaar;41492;0;11;11;10;17;7;10;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84
