PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;482;Alblasserdam;2951;Alblasserdam;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;58;42;48;49;41;45;40;32;2;0;0;0;0;0;0;0;0;0;0;0;0;0;357
20171001;482;Alblasserdam;2952;Alblasserdam;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;5;5;2;1;4;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
20171001;482;Alblasserdam;2953;Alblasserdam;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;13;19;15;16;16;16;18;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;130
20171001;482;Alblasserdam;2954;Alblasserdam;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;7;5;10;7;6;8;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51
20171001;482;Alblasserdam;2961;Molenwaard;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;482;Alblasserdam;2969;Molenwaard;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;2;4;4;1;2;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;482;Alblasserdam;2986;Ridderkerk;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;482;Alblasserdam;3343;Hendrik-Ido-Ambacht;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;482;Alblasserdam;3344;Hendrik-Ido-Ambacht;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;482;Alblasserdam;4041;Neder-Betuwe;03LQ;00;Ds Joannes Beukelmansch;2951PL;ALBLASSERDAM;Zuid-Holland;Bo;Reformatorisch;31077;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;482;Alblasserdam;2951;Alblasserdam;04KC;00;KC De Schalm;2951GL;ALBLASSERDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;16;28;27;22;23;19;23;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;174
20171001;482;Alblasserdam;2952;Alblasserdam;04KC;00;KC De Schalm;2951GL;ALBLASSERDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;4;9;5;3;4;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;482;Alblasserdam;2953;Alblasserdam;04KC;00;KC De Schalm;2951GL;ALBLASSERDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;3;1;2;4;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;482;Alblasserdam;2954;Alblasserdam;04KC;00;KC De Schalm;2951GL;ALBLASSERDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;3;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;482;Alblasserdam;2969;Molenwaard;04KC;00;KC De Schalm;2951GL;ALBLASSERDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;482;Alblasserdam;3356;Papendrecht;04KC;00;KC De Schalm;2951GL;ALBLASSERDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;482;Alblasserdam;2951;Alblasserdam;05ME;00;Het Kompas;2953XM;ALBLASSERDAM;Zuid-Holland;Bo;Protestants-Christelijk;81979;0;2;6;3;6;8;4;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;40
