PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;613;Albrandswaard;2665;Lansingerland;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;613;Albrandswaard;2991;Barendrecht;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;613;Albrandswaard;3131;Vlaardingen;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;613;Albrandswaard;3161;Albrandswaard;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;613;Albrandswaard;3171;Albrandswaard;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;25;22;18;27;22;31;25;19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;193
20171001;613;Albrandswaard;3172;Albrandswaard;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;1;0;1;1;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;613;Albrandswaard;3176;Albrandswaard;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;4;6;10;7;8;3;14;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;60
20171001;613;Albrandswaard;3191;Rotterdam;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;4;0;2;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;613;Albrandswaard;3192;Rotterdam;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;613;Albrandswaard;3193;Rotterdam;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;613;Albrandswaard;3194;Rotterdam;04QM;00;CBS De Parel;3171PN;POORTUGAAL;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;613;Albrandswaard;  40;Onbekend;09NH;00;PC Basisschool Juliana;3161AK;RHOON;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;613;Albrandswaard;3061;Rotterdam;09NH;00;PC Basisschool Juliana;3161AK;RHOON;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;613;Albrandswaard;3081;Rotterdam;09NH;00;PC Basisschool Juliana;3161AK;RHOON;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;613;Albrandswaard;3086;Rotterdam;09NH;00;PC Basisschool Juliana;3161AK;RHOON;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;613;Albrandswaard;3161;Albrandswaard;09NH;00;PC Basisschool Juliana;3161AK;RHOON;Zuid-Holland;Bo;Protestants-Christelijk;59555;0;30;39;43;30;30;27;35;32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;267
