PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;361;Alkmaar;1483;Alkmaar;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1602;Enkhuizen;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1616;Drechterland;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1628;Hoorn;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1633;Koggenland;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1645;Koggenland;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;4
20171001;361;Alkmaar;1701;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1701;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;1;3;0;1;2;1;0;0;0;0;0;0;0;8
20171001;361;Alkmaar;1702;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;361;Alkmaar;1702;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2
20171001;361;Alkmaar;1703;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;361;Alkmaar;1703;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;4
20171001;361;Alkmaar;1704;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1704;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;1;1;0;3;0;2;1;0;0;0;0;0;0;0;8
20171001;361;Alkmaar;1705;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;2;0;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;361;Alkmaar;1705;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;2;1;2;1;2;3;0;0;0;0;0;0;0;0;11
20171001;361;Alkmaar;1706;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1706;Heerhugowaard;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1713;Koggenland;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1713;Koggenland;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1721;Langedijk;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;361;Alkmaar;1721;Langedijk;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;5
20171001;361;Alkmaar;1722;Langedijk;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;361;Alkmaar;1722;Langedijk;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;3
20171001;361;Alkmaar;1723;Langedijk;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1723;Langedijk;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;4
20171001;361;Alkmaar;1724;Langedijk;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;361;Alkmaar;1731;Hollands Kroon;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1731;Hollands Kroon;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1732;Hollands Kroon;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;361;Alkmaar;1733;Hollands Kroon;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;So;Algemeen bijzonder;40837;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;361;Alkmaar;1733;Hollands Kroon;01WX;00;De Alk;1813KE;ALKMAAR;Noord-Holland;Vso;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
