PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;34;Almere;  30;ander land;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;34;Almere;1068;Amsterdam;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;34;Almere;1102;Amsterdam;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;34;Almere;1181;Amstelveen;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;34;Almere;1311;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;1;2;2;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;34;Almere;1312;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;7;6;7;3;5;1;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;39
20171001;34;Almere;1313;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;2;2;4;0;4;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;34;Almere;1314;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;34;Almere;1315;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;34;Almere;1316;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;1;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;34;Almere;1317;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;34;Almere;1318;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;1;2;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;34;Almere;1319;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;2;5;4;7;4;5;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;33
20171001;34;Almere;1321;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;6;4;4;1;6;3;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;34;Almere;1323;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;3;3;4;2;3;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;34;Almere;1324;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;7;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;34;Almere;1325;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;3;2;2;4;1;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;34;Almere;1326;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;4;3;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;34;Almere;1328;Almere;06RM;00;Vrije School Almere;1312JZ;ALMERE;Flevoland;Bo;Antroposofisch;62584;0;2;0;5;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
