PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;484;Alphen aan den Rijn;2391;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;484;Alphen aan den Rijn;2401;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;0;3;3;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;484;Alphen aan den Rijn;2402;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;484;Alphen aan den Rijn;2403;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;1;1;0;2;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;484;Alphen aan den Rijn;2404;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;1;0;2;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;484;Alphen aan den Rijn;2405;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;1;2;1;3;1;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;484;Alphen aan den Rijn;2406;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;1;1;4;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;484;Alphen aan den Rijn;2407;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;484;Alphen aan den Rijn;2408;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;484;Alphen aan den Rijn;2421;Nieuwkoop;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;4;7;1;1;3;4;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;484;Alphen aan den Rijn;2441;Nieuwkoop;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;484;Alphen aan den Rijn;2445;Alphen aan den Rijn;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;484;Alphen aan den Rijn;2461;Nieuwkoop;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;5;1;1;2;2;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;484;Alphen aan den Rijn;2465;Kaag en Braassem;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;1;2;0;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;484;Alphen aan den Rijn;2481;Kaag en Braassem;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;484;Alphen aan den Rijn;2741;Waddinxveen;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;Zuid-Holland;Bo;Reformatorisch;20183;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;484;Alphen aan den Rijn;2371;Kaag en Braassem;01JO;05;De Weerklank;2402VA;ALPHEN AAN DEN RIJN;Zuid-Holland;So;Protestants-Christelijk;41314;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;484;Alphen aan den Rijn;2391;Alphen aan den Rijn;01JO;05;De Weerklank;2402VA;ALPHEN AAN DEN RIJN;Zuid-Holland;So;Protestants-Christelijk;41314;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;484;Alphen aan den Rijn;2401;Alphen aan den Rijn;01JO;05;De Weerklank;2402VA;ALPHEN AAN DEN RIJN;Zuid-Holland;So;Protestants-Christelijk;41314;0;1;2;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;484;Alphen aan den Rijn;2402;Alphen aan den Rijn;01JO;05;De Weerklank;2402VA;ALPHEN AAN DEN RIJN;Zuid-Holland;So;Protestants-Christelijk;41314;0;1;1;0;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
