PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1723;Alphen-Chaam;1183;Amstelveen;03NN;00;RK BS De Driesprong;4861BB;CHAAM;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;4856;Alphen-Chaam;03NN;00;RK BS De Driesprong;4861BB;CHAAM;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1723;Alphen-Chaam;4861;Alphen-Chaam;03NN;00;RK BS De Driesprong;4861BB;CHAAM;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;24;27;31;34;30;42;34;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;244
20171001;1723;Alphen-Chaam;4884;Zundert;03NN;00;RK BS De Driesprong;4861BB;CHAAM;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1723;Alphen-Chaam;5111;Baarle-Nassau;03NN;00;RK BS De Driesprong;4861BB;CHAAM;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1723;Alphen-Chaam;5113;Baarle-Nassau;03NN;00;RK BS De Driesprong;4861BB;CHAAM;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1723;Alphen-Chaam;5126;Gilze en Rijen;03NN;00;RK BS De Driesprong;4861BB;CHAAM;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1723;Alphen-Chaam;5131;Alphen-Chaam;03NN;00;RK BS De Driesprong;4861BB;CHAAM;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;  40;Onbekend;04LK;00;Het Beekdal;4861TB;CHAAM;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;4816;Breda;04LK;00;Het Beekdal;4861TB;CHAAM;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1723;Alphen-Chaam;4856;Alphen-Chaam;04LK;00;Het Beekdal;4861TB;CHAAM;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1723;Alphen-Chaam;4861;Alphen-Chaam;04LK;00;Het Beekdal;4861TB;CHAAM;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;5;7;4;4;6;2;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;37
20171001;1723;Alphen-Chaam;5036;Tilburg;04LK;00;Het Beekdal;4861TB;CHAAM;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;  10;Belgie;08RU;00;RK BS ST Willibrordus;5131CT;ALPHEN NB;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;5049;Tilburg;08RU;00;RK BS ST Willibrordus;5131CT;ALPHEN NB;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;5051;Goirle;08RU;00;RK BS ST Willibrordus;5131CT;ALPHEN NB;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;5111;Baarle-Nassau;08RU;00;RK BS ST Willibrordus;5131CT;ALPHEN NB;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1723;Alphen-Chaam;5114;Baarle-Nassau;08RU;00;RK BS ST Willibrordus;5131CT;ALPHEN NB;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;5131;Alphen-Chaam;08RU;00;RK BS ST Willibrordus;5131CT;ALPHEN NB;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;39;35;51;44;34;35;36;27;4;0;0;0;0;0;0;0;0;0;0;0;0;0;305
20171001;1723;Alphen-Chaam;  10;Belgie;09AJ;00;Mattheus-School;4855AK;GALDER;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;1;1;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1723;Alphen-Chaam;  20;Duitsland;09AJ;00;Mattheus-School;4855AK;GALDER;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1723;Alphen-Chaam;  30;ander land;09AJ;00;Mattheus-School;4855AK;GALDER;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1723;Alphen-Chaam;4836;Breda;09AJ;00;Mattheus-School;4855AK;GALDER;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1723;Alphen-Chaam;4855;Alphen-Chaam;09AJ;00;Mattheus-School;4855AK;GALDER;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;11;10;10;7;11;6;11;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75
20171001;1723;Alphen-Chaam;4856;Alphen-Chaam;09AJ;00;Mattheus-School;4855AK;GALDER;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;1;2;1;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1723;Alphen-Chaam;4891;Zundert;09AJ;00;Mattheus-School;4855AK;GALDER;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
