PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;307;Amersfoort;  40;Onbekend;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;307;Amersfoort;3741;Baarn;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;307;Amersfoort;3742;Baarn;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;307;Amersfoort;3751;Bunschoten;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;307;Amersfoort;3752;Bunschoten;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;307;Amersfoort;3763;Soest;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;307;Amersfoort;3764;Soest;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;307;Amersfoort;3765;Soest;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;307;Amersfoort;3766;Soest;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;307;Amersfoort;3768;Soest;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;307;Amersfoort;3769;Soest;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;307;Amersfoort;3811;Amersfoort;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;Utrecht;Sbo;Algemeen bijzonder;21881;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
