PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;3;Appingedam;9367;Marum;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9628;Slochteren;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9649;Menterwolde;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9673;Oldambt;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9695;Bellingwedde;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9901;Appingedam;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9902;Appingedam;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;3;Appingedam;9909;Delfzijl;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9914;Loppersum;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9931;Delfzijl;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;3;Appingedam;9932;Delfzijl;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;3;Appingedam;9933;Delfzijl;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;3;Appingedam;9934;Delfzijl;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9946;Delfzijl;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9974;De Marne;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9981;Eemsmond;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;3;Appingedam;9998;Eemsmond;02YR;05;Prof W J Bladergroenschool;9901CE;APPINGEDAM;Groningen;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9625;Slochteren;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;3;Appingedam;9901;Appingedam;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;9;11;6;12;15;5;11;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;74
20171001;3;Appingedam;9902;Appingedam;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;2;4;4;3;0;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;3;Appingedam;9903;Appingedam;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;13;3;4;9;5;4;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
20171001;3;Appingedam;9904;Delfzijl;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;3;Appingedam;9905;Delfzijl;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;3;Appingedam;9908;Delfzijl;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9918;Loppersum;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9932;Delfzijl;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9934;Delfzijl;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;3;Appingedam;9936;Delfzijl;06NH;00;cbs De Citer;9903ET;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9629;Slochteren;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9901;Appingedam;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;2;1;4;2;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;3;Appingedam;9902;Appingedam;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;14;25;25;19;22;25;17;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;170
20171001;3;Appingedam;9903;Appingedam;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;3;Appingedam;9905;Delfzijl;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;3;Appingedam;9907;Delfzijl;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9909;Delfzijl;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9932;Delfzijl;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;3;Appingedam;9936;Delfzijl;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9939;Slochteren;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;3;Appingedam;9947;Delfzijl;10HK;00;Chr Basissch de Triangel;9902LB;APPINGEDAM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;3;Appingedam;9625;Slochteren;10VH;00;Basisschool Jan Ligthart;9903ET;APPINGEDAM;Groningen;Bo;Openbaar;41574;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;3;Appingedam;9901;Appingedam;10VH;00;Basisschool Jan Ligthart;9903ET;APPINGEDAM;Groningen;Bo;Openbaar;41574;0;12;17;13;19;9;16;20;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121
20171001;3;Appingedam;9902;Appingedam;10VH;00;Basisschool Jan Ligthart;9903ET;APPINGEDAM;Groningen;Bo;Openbaar;41574;0;9;7;3;6;2;9;8;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;54
20171001;3;Appingedam;9903;Appingedam;10VH;00;Basisschool Jan Ligthart;9903ET;APPINGEDAM;Groningen;Bo;Openbaar;41574;0;9;6;11;18;14;15;18;21;3;0;0;0;0;0;0;0;0;0;0;0;0;0;115
20171001;3;Appingedam;9908;Delfzijl;10VH;00;Basisschool Jan Ligthart;9903ET;APPINGEDAM;Groningen;Bo;Openbaar;41574;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;3;Appingedam;9911;Loppersum;10VH;00;Basisschool Jan Ligthart;9903ET;APPINGEDAM;Groningen;Bo;Openbaar;41574;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;3;Appingedam;9917;Loppersum;10VH;00;Basisschool Jan Ligthart;9903ET;APPINGEDAM;Groningen;Bo;Openbaar;41574;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
