PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;202;Arnhem;6661;Overbetuwe;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;202;Arnhem;6666;Overbetuwe;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;202;Arnhem;6671;Overbetuwe;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;202;Arnhem;6811;Arnhem;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;202;Arnhem;6822;Arnhem;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;202;Arnhem;6823;Arnhem;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;202;Arnhem;6824;Arnhem;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;202;Arnhem;6826;Arnhem;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;202;Arnhem;6828;Arnhem;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;202;Arnhem;6831;Arnhem;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;202;Arnhem;6832;Arnhem;00IH;00;De Horizon;6835HZ;ARNHEM;Gelderland;Sbo;Rooms-Katholiek;40812;0;0;2;0;1;1;3;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13
