PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;106;Assen;7843;Coevorden;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;106;Assen;7955;Staphorst;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;106;Assen;8031;Zwolle;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;106;Assen;8426;Ooststellingwerf;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;106;Assen;8432;Ooststellingwerf;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;106;Assen;8434;Ooststellingwerf;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;106;Assen;9248;Opsterland;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;106;Assen;9331;Noordenveld;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;106;Assen;9341;Noordenveld;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;106;Assen;9401;Assen;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;1;1;1;3;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;106;Assen;9402;Assen;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;0;0;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;106;Assen;9403;Assen;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;4;8;3;9;2;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;106;Assen;9404;Assen;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;5;1;6;7;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;106;Assen;9405;Assen;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;0;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;106;Assen;9406;Assen;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;5;0;2;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;106;Assen;9407;Assen;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;1;2;0;5;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;106;Assen;9408;Assen;00DX;00;Vrije School Assen;9404KK;ASSEN;Drenthe;Bo;Antroposofisch;77456;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
