PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;744;Baarle-Nassau;  10;Belgie;06HO;00;Basissch De Akkerwinde;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;4;3;8;5;3;2;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;744;Baarle-Nassau;  40;Onbekend;06HO;00;Basissch De Akkerwinde;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;744;Baarle-Nassau;4861;Alphen-Chaam;06HO;00;Basissch De Akkerwinde;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;744;Baarle-Nassau;5111;Baarle-Nassau;06HO;00;Basissch De Akkerwinde;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;34;28;28;34;27;41;32;25;7;1;0;0;0;0;0;0;0;0;0;0;0;0;257
20171001;744;Baarle-Nassau;5113;Baarle-Nassau;06HO;00;Basissch De Akkerwinde;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;1;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;744;Baarle-Nassau;5131;Alphen-Chaam;06HO;00;Basissch De Akkerwinde;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;744;Baarle-Nassau;  10;Belgie;08LA;00;Basisschool Bernardus;5113TG;ULICOTEN;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;744;Baarle-Nassau;4813;Breda;08LA;00;Basisschool Bernardus;5113TG;ULICOTEN;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;744;Baarle-Nassau;5111;Baarle-Nassau;08LA;00;Basisschool Bernardus;5113TG;ULICOTEN;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;744;Baarle-Nassau;5113;Baarle-Nassau;08LA;00;Basisschool Bernardus;5113TG;ULICOTEN;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;9;10;2;6;8;5;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
20171001;744;Baarle-Nassau;5114;Baarle-Nassau;08LA;00;Basisschool Bernardus;5113TG;ULICOTEN;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;744;Baarle-Nassau;  10;Belgie;21DL;00;BS de Regenboog;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Openbaar;41611;0;2;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;744;Baarle-Nassau;5111;Baarle-Nassau;21DL;00;BS de Regenboog;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Openbaar;41611;0;4;6;4;4;2;10;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;39
20171001;744;Baarle-Nassau;5131;Alphen-Chaam;21DL;00;BS de Regenboog;5111XP;BAARLE-NASSAU;Noord-Brabant;Bo;Openbaar;41611;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
