PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;203;Barneveld;3771;Barneveld;01VE;00;GBS De Bron;3771CS;BARNEVELD;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;0;2;3;5;4;4;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;203;Barneveld;3772;Barneveld;01VE;00;GBS De Bron;3771CS;BARNEVELD;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;0;14;8;11;9;8;4;5;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;69
20171001;203;Barneveld;3773;Barneveld;01VE;00;GBS De Bron;3771CS;BARNEVELD;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;203;Barneveld;3781;Barneveld;01VE;00;GBS De Bron;3771CS;BARNEVELD;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;203;Barneveld;3784;Barneveld;01VE;00;GBS De Bron;3771CS;BARNEVELD;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;3785;Barneveld;01VE;00;GBS De Bron;3771CS;BARNEVELD;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;203;Barneveld;6713;Ede;01VE;00;GBS De Bron;3771CS;BARNEVELD;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;1274;Huizen;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;3771;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;1;0;2;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;203;Barneveld;3772;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;2;1;5;1;6;6;13;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;203;Barneveld;3773;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;203;Barneveld;3774;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;203;Barneveld;3776;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;203;Barneveld;3781;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;3;1;2;1;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;203;Barneveld;3784;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;203;Barneveld;3785;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;203;Barneveld;3791;Leusden;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;203;Barneveld;3794;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;1;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;203;Barneveld;3871;Nijkerk;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;3881;Putten;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;3886;Barneveld;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;3905;Veenendaal;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;3925;Scherpenzeel;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;1;1;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;203;Barneveld;3927;Renswoude;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;1;0;0;0;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;203;Barneveld;3931;Woudenberg;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;203;Barneveld;3994;Houten;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;6711;Ede;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;6712;Ede;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;6714;Ede;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;203;Barneveld;6715;Ede;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;203;Barneveld;6717;Ede;02AJ;00;Chr SSBO De Vogelhorst;3772TX;BARNEVELD;Gelderland;Sbo;Protestants-Christelijk;25897;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
