PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;888;Beek;6181;Stein;03BR;00;Basisschool De Kring;6191PD;BEEK LB;Limburg;Bo;Openbaar;83280;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;888;Beek;6191;Beek;03BR;00;Basisschool De Kring;6191PD;BEEK LB;Limburg;Bo;Openbaar;83280;0;11;13;11;15;14;14;16;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20171001;888;Beek;6235;Meerssen;03BR;00;Basisschool De Kring;6191PD;BEEK LB;Limburg;Bo;Openbaar;83280;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;888;Beek;6333;Nuth;03BR;00;Basisschool De Kring;6191PD;BEEK LB;Limburg;Bo;Openbaar;83280;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;888;Beek;6363;Nuth;03BR;00;Basisschool De Kring;6191PD;BEEK LB;Limburg;Bo;Openbaar;83280;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;888;Beek;6371;Landgraaf;03BR;00;Basisschool De Kring;6191PD;BEEK LB;Limburg;Bo;Openbaar;83280;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;888;Beek;6137;Sittard-Geleen;03TY;00;Kath Basissch Spaubeek;6176BZ;SPAUBEEK;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;888;Beek;6164;Sittard-Geleen;03TY;00;Kath Basissch Spaubeek;6176BZ;SPAUBEEK;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;888;Beek;6176;Beek;03TY;00;Kath Basissch Spaubeek;6176BZ;SPAUBEEK;Limburg;Bo;Rooms-Katholiek;83280;0;17;16;13;26;24;16;9;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;142
20171001;888;Beek;6191;Beek;03TY;00;Kath Basissch Spaubeek;6176BZ;SPAUBEEK;Limburg;Bo;Rooms-Katholiek;83280;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
