PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;889;Beesel;5953;Beesel;03SO;00;RK Basisschool Het Spick;5954BC;BEESEL;Limburg;Bo;Rooms-Katholiek;75597;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;889;Beesel;5954;Beesel;03SO;00;RK Basisschool Het Spick;5954BC;BEESEL;Limburg;Bo;Rooms-Katholiek;75597;0;13;12;16;18;19;26;21;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;146
20171001;889;Beesel;6071;Roermond;03SO;00;RK Basisschool Het Spick;5954BC;BEESEL;Limburg;Bo;Rooms-Katholiek;75597;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;6095;Leudal;03SO;00;RK Basisschool Het Spick;5954BC;BEESEL;Limburg;Bo;Rooms-Katholiek;75597;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;5953;Beesel;12PV;00;Basisschool Bosdael;5953DM;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;54;32;48;46;40;41;48;29;11;0;0;0;0;0;0;0;0;0;0;0;0;0;349
20171001;889;Beesel;5954;Beesel;12PV;00;Basisschool Bosdael;5953DM;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;889;Beesel;5995;Peel en Maas;12PV;00;Basisschool Bosdael;5953DM;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;5922;Venlo;12XG;00;Basisschool Meander;5953JN;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;5951;Venlo;12XG;00;Basisschool Meander;5953JN;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;889;Beesel;5953;Beesel;12XG;00;Basisschool Meander;5953JN;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;23;42;30;38;42;42;42;39;10;0;0;0;0;0;0;0;0;0;0;0;0;0;308
20171001;889;Beesel;5954;Beesel;12XG;00;Basisschool Meander;5953JN;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;6043;Roermond;12XG;00;Basisschool Meander;5953JN;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;6051;Maasgouw;12XG;00;Basisschool Meander;5953JN;REUVER;Limburg;Bo;Rooms-Katholiek;75597;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;  20;Duitsland;21LV;00;OBS De Triolier;5953LR;REUVER;Limburg;Bo;Openbaar;41398;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;5931;Venlo;21LV;00;OBS De Triolier;5953LR;REUVER;Limburg;Bo;Openbaar;41398;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;889;Beesel;5932;Venlo;21LV;00;OBS De Triolier;5953LR;REUVER;Limburg;Bo;Openbaar;41398;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;889;Beesel;5951;Venlo;21LV;00;OBS De Triolier;5953LR;REUVER;Limburg;Bo;Openbaar;41398;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;889;Beesel;5953;Beesel;21LV;00;OBS De Triolier;5953LR;REUVER;Limburg;Bo;Openbaar;41398;0;21;23;27;17;21;18;29;21;6;0;0;0;0;0;0;0;0;0;0;0;0;0;183
