PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;7;Bellingwedde;  20;Duitsland;05MH;00;Chr Bs De Wegwijzer;9695AP;BELLINGWOLDE;Groningen;Bo;Protestants-Christelijk;41845;0;0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;7;Bellingwedde;9695;Bellingwedde;05MH;00;Chr Bs De Wegwijzer;9695AP;BELLINGWOLDE;Groningen;Bo;Protestants-Christelijk;41845;0;3;1;5;1;5;3;4;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;7;Bellingwedde;9696;Bellingwedde;05MH;00;Chr Bs De Wegwijzer;9695AP;BELLINGWOLDE;Groningen;Bo;Protestants-Christelijk;41845;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;7;Bellingwedde;9699;Bellingwedde;05MH;00;Chr Bs De Wegwijzer;9695AP;BELLINGWOLDE;Groningen;Bo;Protestants-Christelijk;41845;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9591;Stadskanaal;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9665;Pekela;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;1;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;7;Bellingwedde;9671;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9673;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;1;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;7;Bellingwedde;9674;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;2;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;7;Bellingwedde;9675;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;7;Bellingwedde;9677;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9679;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;7;Bellingwedde;9681;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;7;Bellingwedde;9682;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9686;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9695;Bellingwedde;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;5;12;9;9;11;13;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74
20171001;7;Bellingwedde;9697;Bellingwedde;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;7;Bellingwedde;9698;Bellingwedde;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9944;Oldambt;06CN;00;Oosterschool;9695AH;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;7;Bellingwedde;9695;Bellingwedde;07XN;00;Basisschool De Loopplank;9697NS;BLIJHAM;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9697;Bellingwedde;07XN;00;Basisschool De Loopplank;9697NS;BLIJHAM;Groningen;Bo;Protestants-Christelijk;41845;0;6;6;3;8;5;3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
20171001;7;Bellingwedde;9698;Bellingwedde;07XN;00;Basisschool De Loopplank;9697NS;BLIJHAM;Groningen;Bo;Protestants-Christelijk;41845;0;1;0;1;1;2;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;7;Bellingwedde;9699;Bellingwedde;07XN;00;Basisschool De Loopplank;9697NS;BLIJHAM;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9713;Groningen;07XN;00;Basisschool De Loopplank;9697NS;BLIJHAM;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;  20;Duitsland;08IC;00;Westerschool;9695AC;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;  30;ander land;08IC;00;Westerschool;9695AC;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9566;Bellingwedde;08IC;00;Westerschool;9695AC;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;7;Bellingwedde;9675;Oldambt;08IC;00;Westerschool;9695AC;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9684;Oldambt;08IC;00;Westerschool;9695AC;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9695;Bellingwedde;08IC;00;Westerschool;9695AC;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;11;14;20;12;17;17;17;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;129
20171001;7;Bellingwedde;9696;Bellingwedde;08IC;00;Westerschool;9695AC;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;7;Bellingwedde;9699;Bellingwedde;08IC;00;Westerschool;9695AC;BELLINGWOLDE;Groningen;Bo;Openbaar;41613;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;7;Bellingwedde;  20;Duitsland;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9566;Bellingwedde;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;2;1;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;7;Bellingwedde;9591;Stadskanaal;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9671;Oldambt;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9679;Oldambt;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9693;Oldambt;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9695;Bellingwedde;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;1;1;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;7;Bellingwedde;9696;Bellingwedde;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9697;Bellingwedde;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9698;Bellingwedde;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;7;Bellingwedde;9699;Bellingwedde;10DT;00;De Driesprong;9699PG;VRIESCHELOO;Groningen;Bo;Openbaar;41613;0;4;4;3;6;0;3;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;7;Bellingwedde;9665;Pekela;11JJ;00;De Vlonder;9698AW;WEDDE;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9695;Bellingwedde;11JJ;00;De Vlonder;9698AW;WEDDE;Groningen;Bo;Openbaar;41613;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;7;Bellingwedde;9697;Bellingwedde;11JJ;00;De Vlonder;9698AW;WEDDE;Groningen;Bo;Openbaar;41613;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9698;Bellingwedde;11JJ;00;De Vlonder;9698AW;WEDDE;Groningen;Bo;Openbaar;41613;0;8;6;7;7;7;7;9;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;58
20171001;7;Bellingwedde;9699;Bellingwedde;11JJ;00;De Vlonder;9698AW;WEDDE;Groningen;Bo;Openbaar;41613;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;7;Bellingwedde;  20;Duitsland;11UZ;00;De Wiekslag;9697RZ;BLIJHAM;Groningen;Bo;Openbaar;41613;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;  30;ander land;11UZ;00;De Wiekslag;9697RZ;BLIJHAM;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9665;Pekela;11UZ;00;De Wiekslag;9697RZ;BLIJHAM;Groningen;Bo;Openbaar;41613;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9671;Oldambt;11UZ;00;De Wiekslag;9697RZ;BLIJHAM;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9673;Oldambt;11UZ;00;De Wiekslag;9697RZ;BLIJHAM;Groningen;Bo;Openbaar;41613;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;7;Bellingwedde;9674;Oldambt;11UZ;00;De Wiekslag;9697RZ;BLIJHAM;Groningen;Bo;Openbaar;41613;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;7;Bellingwedde;9697;Bellingwedde;11UZ;00;De Wiekslag;9697RZ;BLIJHAM;Groningen;Bo;Openbaar;41613;0;18;7;17;9;13;6;11;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;90
