PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1724;Bergeijk;5561;Bergeijk;04FV;00;Sint Gerardus;5571XJ;BERGEIJK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1724;Bergeijk;5571;Bergeijk;04FV;00;Sint Gerardus;5571XJ;BERGEIJK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;4;5;5;6;10;9;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;1724;Bergeijk;5575;Bergeijk;04FV;00;Sint Gerardus;5571XJ;BERGEIJK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1724;Bergeijk;5628;Eindhoven;04FV;00;Sint Gerardus;5571XJ;BERGEIJK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1724;Bergeijk;5521;Eersel;05DD;00;Basissch St Willibrordus;5561AH;RIETHOVEN;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1724;Bergeijk;5551;Valkenswaard;05DD;00;Basissch St Willibrordus;5561AH;RIETHOVEN;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1724;Bergeijk;5556;Valkenswaard;05DD;00;Basissch St Willibrordus;5561AH;RIETHOVEN;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1724;Bergeijk;5561;Bergeijk;05DD;00;Basissch St Willibrordus;5561AH;RIETHOVEN;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;11;16;16;14;18;17;20;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;132
20171001;1724;Bergeijk;  10;Belgie;06HG;00;Basisschool Beisterveld;5571RK;BERGEIJK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1724;Bergeijk;5521;Eersel;06HG;00;Basisschool Beisterveld;5571RK;BERGEIJK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
