PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;893;Bergen (L.);  30;ander land;03IZ;00;Basisschool St Vitus;5855AD;WELL L;Limburg;Bo;Rooms-Katholiek;37663;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;893;Bergen (L.);5855;Bergen (L.);03IZ;00;Basisschool St Vitus;5855AD;WELL L;Limburg;Bo;Rooms-Katholiek;37663;0;22;13;20;26;23;19;24;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168
20171001;893;Bergen (L.);5856;Bergen (L.);03IZ;00;Basisschool St Vitus;5855AD;WELL L;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;893;Bergen (L.);5863;Venray;03IZ;00;Basisschool St Vitus;5855AD;WELL L;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;893;Bergen (L.);5802;Venray;03YC;00;RK Basissch 't Diekske;5851BE;AFFERDEN L;Limburg;Bo;Rooms-Katholiek;37663;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;893;Bergen (L.);5851;Bergen (L.);03YC;00;RK Basissch 't Diekske;5851BE;AFFERDEN L;Limburg;Bo;Rooms-Katholiek;37663;0;12;9;13;18;18;17;18;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;123
20171001;893;Bergen (L.);5922;Venlo;03YC;00;RK Basissch 't Diekske;5851BE;AFFERDEN L;Limburg;Bo;Rooms-Katholiek;37663;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;893;Bergen (L.);6591;Gennep;03YC;00;RK Basissch 't Diekske;5851BE;AFFERDEN L;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;893;Bergen (L.);5821;Boxmeer;05FX;00;De Fontein;5854ES;BERGEN L;Limburg;Bo;Rooms-Katholiek;37663;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;893;Bergen (L.);5853;Bergen (L.);05FX;00;De Fontein;5854ES;BERGEN L;Limburg;Bo;Rooms-Katholiek;37663;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
