PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;748;Bergen op Zoom;  10;Belgie;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;748;Bergen op Zoom;4411;Reimerswaal;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;748;Bergen op Zoom;4611;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;748;Bergen op Zoom;4614;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;748;Bergen op Zoom;4615;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;748;Bergen op Zoom;4617;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;748;Bergen op Zoom;4621;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;2;2;3;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;748;Bergen op Zoom;4622;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;748;Bergen op Zoom;4623;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;748;Bergen op Zoom;4624;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;748;Bergen op Zoom;4625;Bergen op Zoom;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;748;Bergen op Zoom;4631;Woensdrecht;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM;Noord-Brabant;So;Rooms-Katholiek;41314;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
