PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1859;Berkelland;  30;ander land;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1859;Berkelland;  40;Onbekend;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1859;Berkelland;1783;Den Helder;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1859;Berkelland;6911;Rijnwaarden;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1859;Berkelland;6952;Rheden;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1859;Berkelland;6953;Rheden;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1859;Berkelland;6981;Doesburg;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1859;Berkelland;6982;Doesburg;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1859;Berkelland;7002;Doetinchem;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;5
20171001;1859;Berkelland;7004;Doetinchem;01QH;00;Sgm Klein Borculo;7271NS;BORCULO;Gelderland;Vso;Interconfessioneel;83189;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;4
