PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1721;Bernheze;  40;Onbekend;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;Noord-Brabant;Bo;Openbaar;13674;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1721;Bernheze;5363;Grave;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;Noord-Brabant;Bo;Openbaar;13674;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1721;Bernheze;5473;Bernheze;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;Noord-Brabant;Bo;Openbaar;13674;0;11;18;9;11;21;17;18;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127
20171001;1721;Bernheze;5342;Oss;03HA;00;RK Basisschool Emmaus;5384BV;HEESCH;Noord-Brabant;Bo;Rooms-Katholiek;41228;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1721;Bernheze;5343;Oss;03HA;00;RK Basisschool Emmaus;5384BV;HEESCH;Noord-Brabant;Bo;Rooms-Katholiek;41228;0;1;0;1;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1721;Bernheze;5345;Oss;03HA;00;RK Basisschool Emmaus;5384BV;HEESCH;Noord-Brabant;Bo;Rooms-Katholiek;41228;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1721;Bernheze;5348;Oss;03HA;00;RK Basisschool Emmaus;5384BV;HEESCH;Noord-Brabant;Bo;Rooms-Katholiek;41228;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1721;Bernheze;5351;Oss;03HA;00;RK Basisschool Emmaus;5384BV;HEESCH;Noord-Brabant;Bo;Rooms-Katholiek;41228;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1721;Bernheze;5374;Landerd;03HA;00;RK Basisschool Emmaus;5384BV;HEESCH;Noord-Brabant;Bo;Rooms-Katholiek;41228;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1721;Bernheze;5384;Bernheze;03HA;00;RK Basisschool Emmaus;5384BV;HEESCH;Noord-Brabant;Bo;Rooms-Katholiek;41228;0;66;49;74;57;64;50;62;37;7;0;0;0;0;0;0;0;0;0;0;0;0;0;466
