PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;753;Best;5621;Eindhoven;03JB;00;Kindcentrum Platijn;5684AT;BEST;Noord-Brabant;Bo;Algemeen bijzonder;26977;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;753;Best;5682;Best;03JB;00;Kindcentrum Platijn;5684AT;BEST;Noord-Brabant;Bo;Algemeen bijzonder;26977;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;753;Best;5683;Best;03JB;00;Kindcentrum Platijn;5684AT;BEST;Noord-Brabant;Bo;Algemeen bijzonder;26977;0;0;1;2;0;3;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;753;Best;5684;Best;03JB;00;Kindcentrum Platijn;5684AT;BEST;Noord-Brabant;Bo;Algemeen bijzonder;26977;0;12;11;10;16;15;15;11;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;106
20171001;753;Best;5685;Best;03JB;00;Kindcentrum Platijn;5684AT;BEST;Noord-Brabant;Bo;Algemeen bijzonder;26977;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;753;Best;5043;Tilburg;03ZJ;00;Geref Basissch Immanuel;5684CH;BEST;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;60790;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;753;Best;5091;Oirschot;03ZJ;00;Geref Basissch Immanuel;5684CH;BEST;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;60790;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;753;Best;5224;'s-Hertogenbosch;03ZJ;00;Geref Basissch Immanuel;5684CH;BEST;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;60790;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;753;Best;5283;Boxtel;03ZJ;00;Geref Basissch Immanuel;5684CH;BEST;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;60790;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;753;Best;5291;Sint-Michielsgestel;03ZJ;00;Geref Basissch Immanuel;5684CH;BEST;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;60790;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
