PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;375;Beverwijk;1901;Castricum;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;375;Beverwijk;1902;Castricum;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;375;Beverwijk;1906;Castricum;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;375;Beverwijk;1911;Uitgeest;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;375;Beverwijk;1921;Castricum;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;375;Beverwijk;1941;Beverwijk;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;375;Beverwijk;1943;Beverwijk;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;375;Beverwijk;1944;Beverwijk;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;1;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;375;Beverwijk;1945;Beverwijk;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;375;Beverwijk;1946;Beverwijk;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;2;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;375;Beverwijk;1947;Beverwijk;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;375;Beverwijk;1948;Beverwijk;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;375;Beverwijk;1951;Velsen;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;375;Beverwijk;1962;Heemskerk;00RL;10;Antoniusschool;1945NC;BEVERWIJK;Noord-Holland;So;Samenwerking PC, RK;41008;0;2;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
