PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;377;Bloemendaal;1075;Amsterdam;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;377;Bloemendaal;1991;Velsen;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;377;Bloemendaal;2012;Haarlem;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;377;Bloemendaal;2013;Haarlem;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;8;6;3;3;5;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20171001;377;Bloemendaal;2014;Haarlem;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;4;5;5;6;5;5;5;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42
20171001;377;Bloemendaal;2015;Haarlem;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;13;9;8;10;13;6;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;377;Bloemendaal;2023;Haarlem;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;1;1;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;377;Bloemendaal;2024;Haarlem;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;377;Bloemendaal;2025;Haarlem;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;377;Bloemendaal;2033;Haarlem;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;377;Bloemendaal;2041;Zandvoort;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;377;Bloemendaal;2051;Bloemendaal;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;5;7;3;7;7;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
20171001;377;Bloemendaal;2061;Bloemendaal;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;377;Bloemendaal;2071;Velsen;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;377;Bloemendaal;2106;Heemstede;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;377;Bloemendaal;2111;Bloemendaal;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;377;Bloemendaal;3541;Utrecht;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;377;Bloemendaal;2041;Zandvoort;03TO;00;Basisschool De Paradijsvogel;2114ER;VOGELENZANG;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;377;Bloemendaal;2042;Zandvoort;03TO;00;Basisschool De Paradijsvogel;2114ER;VOGELENZANG;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
