PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1901;Bodegraven-Reeuwijk;2415;Bodegraven-Reeuwijk;03GD;00;De Lelie;3465KE;DRIEBRUGGEN;Zuid-Holland;Bo;Reformatorisch;41534;0;0;2;0;1;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1901;Bodegraven-Reeuwijk;3421;Oudewater;03GD;00;De Lelie;3465KE;DRIEBRUGGEN;Zuid-Holland;Bo;Reformatorisch;41534;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1901;Bodegraven-Reeuwijk;3464;Oudewater;03GD;00;De Lelie;3465KE;DRIEBRUGGEN;Zuid-Holland;Bo;Reformatorisch;41534;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1901;Bodegraven-Reeuwijk;3465;Bodegraven-Reeuwijk;03GD;00;De Lelie;3465KE;DRIEBRUGGEN;Zuid-Holland;Bo;Reformatorisch;41534;0;18;12;13;9;10;14;9;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95
20171001;1901;Bodegraven-Reeuwijk;3466;Bodegraven-Reeuwijk;03GD;00;De Lelie;3465KE;DRIEBRUGGEN;Zuid-Holland;Bo;Reformatorisch;41534;0;9;6;10;7;7;8;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63
20171001;1901;Bodegraven-Reeuwijk;2411;Bodegraven-Reeuwijk;03NX;00;Rk Bs Gerardus Majella;2811JG;REEUWIJK;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1901;Bodegraven-Reeuwijk;2415;Bodegraven-Reeuwijk;04PE;00;CBS De Brug;2415AJ;NIEUWERBRUG AAN DEN RIJN;Zuid-Holland;Bo;Protestants-Christelijk;41286;0;7;19;12;22;20;15;16;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;127
20171001;1901;Bodegraven-Reeuwijk;3443;Woerden;04PE;00;CBS De Brug;2415AJ;NIEUWERBRUG AAN DEN RIJN;Zuid-Holland;Bo;Protestants-Christelijk;41286;0;1;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1901;Bodegraven-Reeuwijk;2805;Gouda;04RQ;00;De Regenboog;2811JK;REEUWIJK;Zuid-Holland;Bo;Protestants-Christelijk;41194;0;1;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1901;Bodegraven-Reeuwijk;2806;Gouda;04RQ;00;De Regenboog;2811JK;REEUWIJK;Zuid-Holland;Bo;Protestants-Christelijk;41194;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1901;Bodegraven-Reeuwijk;2811;Bodegraven-Reeuwijk;04RQ;00;De Regenboog;2811JK;REEUWIJK;Zuid-Holland;Bo;Protestants-Christelijk;41194;0;27;20;30;21;33;27;23;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207
20171001;1901;Bodegraven-Reeuwijk;3063;Rotterdam;04RQ;00;De Regenboog;2811JK;REEUWIJK;Zuid-Holland;Bo;Protestants-Christelijk;41194;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1901;Bodegraven-Reeuwijk;2811;Bodegraven-Reeuwijk;05QI;00;Basisschool De Wegwijzer;3465TK;DRIEBRUGGEN;Zuid-Holland;Bo;Protestants-Christelijk;41194;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1901;Bodegraven-Reeuwijk;3465;Bodegraven-Reeuwijk;05QI;00;Basisschool De Wegwijzer;3465TK;DRIEBRUGGEN;Zuid-Holland;Bo;Protestants-Christelijk;41194;0;7;15;18;10;17;7;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101
20171001;1901;Bodegraven-Reeuwijk;3466;Bodegraven-Reeuwijk;05QI;00;Basisschool De Wegwijzer;3465TK;DRIEBRUGGEN;Zuid-Holland;Bo;Protestants-Christelijk;41194;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1901;Bodegraven-Reeuwijk;2741;Waddinxveen;06JG;00;RK Dorpsschool De Bron;2811LP;REEUWIJK;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;2;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
