PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1681;Borger-Odoorn;7895;Emmen;03WU;00;Basisschool De Wegwijzer;9571AZ;2E EXLOERMOND;Drenthe;Bo;Protestants-Christelijk;41486;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1681;Borger-Odoorn;9571;Borger-Odoorn;03WU;00;Basisschool De Wegwijzer;9571AZ;2E EXLOERMOND;Drenthe;Bo;Protestants-Christelijk;41486;0;6;6;8;8;5;7;12;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;59
20171001;1681;Borger-Odoorn;7858;Borger-Odoorn;04LY;00;Chr Basisschool De Borgh;9531CH;BORGER;Drenthe;Bo;Protestants-Christelijk;41486;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1681;Borger-Odoorn;7859;Borger-Odoorn;04LY;00;Chr Basisschool De Borgh;9531CH;BORGER;Drenthe;Bo;Protestants-Christelijk;41486;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1681;Borger-Odoorn;9443;Aa en Hunze;04LY;00;Chr Basisschool De Borgh;9531CH;BORGER;Drenthe;Bo;Protestants-Christelijk;41486;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1681;Borger-Odoorn;9526;Borger-Odoorn;04LY;00;Chr Basisschool De Borgh;9531CH;BORGER;Drenthe;Bo;Protestants-Christelijk;41486;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1681;Borger-Odoorn;9528;Borger-Odoorn;04LY;00;Chr Basisschool De Borgh;9531CH;BORGER;Drenthe;Bo;Protestants-Christelijk;41486;0;2;3;1;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;1681;Borger-Odoorn;9531;Borger-Odoorn;04LY;00;Chr Basisschool De Borgh;9531CH;BORGER;Drenthe;Bo;Protestants-Christelijk;41486;0;11;10;14;13;14;14;20;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105
20171001;1681;Borger-Odoorn;9534;Borger-Odoorn;04LY;00;Chr Basisschool De Borgh;9531CH;BORGER;Drenthe;Bo;Protestants-Christelijk;41486;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1681;Borger-Odoorn;9535;Borger-Odoorn;04LY;00;Chr Basisschool De Borgh;9531CH;BORGER;Drenthe;Bo;Protestants-Christelijk;41486;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
