PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;147;Borne;  40;Onbekend;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;147;Borne;7559;Hengelo;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;147;Borne;7601;Almelo;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;147;Borne;7607;Almelo;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;147;Borne;7608;Almelo;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;147;Borne;7621;Borne;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;147;Borne;7623;Borne;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;147;Borne;7625;Borne;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;5;11;15;9;11;7;15;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85
20171001;147;Borne;7627;Almelo;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;147;Borne;7665;Tubbergen;03RC;00;Basisschool St Stephanus;7625PH;ZENDEREN;Overijssel;Bo;Rooms-Katholiek;68836;0;0;1;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
