PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;756;Boxmeer;5441;Boxmeer;00EB;00;Bs Het Telraam;5441AK;OEFFELT;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;21;19;16;25;18;23;19;23;3;0;0;0;0;0;0;0;0;0;0;0;0;0;167
20171001;756;Boxmeer;5445;Sint Anthonis;00EB;00;Bs Het Telraam;5441AK;OEFFELT;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5835;Boxmeer;00EB;00;Bs Het Telraam;5441AK;OEFFELT;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;756;Boxmeer;6591;Gennep;00EB;00;Bs Het Telraam;5441AK;OEFFELT;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5434;Cuijk;01GF;01;SO4 De Windroos;5831EW;BOXMEER;Noord-Brabant;So;Rooms-Katholiek;29810;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5441;Boxmeer;01GF;01;SO4 De Windroos;5831EW;BOXMEER;Noord-Brabant;So;Rooms-Katholiek;29810;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5443;Cuijk;01GF;01;SO4 De Windroos;5831EW;BOXMEER;Noord-Brabant;So;Rooms-Katholiek;29810;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5825;Boxmeer;01GF;01;SO4 De Windroos;5831EW;BOXMEER;Noord-Brabant;So;Rooms-Katholiek;29810;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;756;Boxmeer;5827;Boxmeer;01GF;01;SO4 De Windroos;5831EW;BOXMEER;Noord-Brabant;So;Rooms-Katholiek;29810;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5831;Boxmeer;01GF;01;SO4 De Windroos;5831EW;BOXMEER;Noord-Brabant;So;Rooms-Katholiek;29810;0;0;0;0;1;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;756;Boxmeer;5841;Sint Anthonis;01GF;01;SO4 De Windroos;5831EW;BOXMEER;Noord-Brabant;So;Rooms-Katholiek;29810;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;6596;Gennep;01GF;01;SO4 De Windroos;5831EW;BOXMEER;Noord-Brabant;So;Rooms-Katholiek;29810;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;1082;Amsterdam;03RN;00;Sint Josef;5825BL;OVERLOON;Noord-Brabant;Bo;Rooms-Katholiek;43305;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5126;Gilze en Rijen;03RN;00;Sint Josef;5825BL;OVERLOON;Noord-Brabant;Bo;Rooms-Katholiek;43305;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;756;Boxmeer;5674;Nuenen, Gerwen en Nederwetten;03RN;00;Sint Josef;5825BL;OVERLOON;Noord-Brabant;Bo;Rooms-Katholiek;43305;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5804;Venray;03RN;00;Sint Josef;5825BL;OVERLOON;Noord-Brabant;Bo;Rooms-Katholiek;43305;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;756;Boxmeer;5821;Boxmeer;03RN;00;Sint Josef;5825BL;OVERLOON;Noord-Brabant;Bo;Rooms-Katholiek;43305;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
