PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;501;Brielle;3072;Rotterdam;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;501;Brielle;3134;Vlaardingen;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;501;Brielle;3162;Albrandswaard;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;501;Brielle;3212;Nissewaard;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;501;Brielle;3214;Nissewaard;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;501;Brielle;3223;Hellevoetsluis;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;501;Brielle;3224;Hellevoetsluis;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;501;Brielle;3231;Brielle;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;2;1;4;2;3;3;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22
20171001;501;Brielle;3232;Brielle;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;44;33;43;41;36;27;36;36;5;0;0;0;0;0;0;0;0;0;0;0;0;0;301
20171001;501;Brielle;3233;Westvoorne;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;501;Brielle;3234;Westvoorne;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;1;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;501;Brielle;3235;Westvoorne;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;501;Brielle;3237;Brielle;05AU;00;Sint Leonardus;3232DA;BRIELLE;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;1;2;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;501;Brielle;2291;Westland;05MU;00;Chr Basissch Anker;3232DA;BRIELLE;Zuid-Holland;Bo;Protestants-Christelijk;41507;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;501;Brielle;2807;Gouda;05MU;00;Chr Basissch Anker;3232DA;BRIELLE;Zuid-Holland;Bo;Protestants-Christelijk;41507;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
