PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;213;Brummen;6957;Rheden;03KS;00;RK Basissch C v Leeuwen;6961ZE;EERBEEK;Gelderland;Bo;Rooms-Katholiek;76806;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;213;Brummen;6961;Brummen;03KS;00;RK Basissch C v Leeuwen;6961ZE;EERBEEK;Gelderland;Bo;Rooms-Katholiek;76806;0;19;19;25;29;25;13;27;29;2;0;0;0;0;0;0;0;0;0;0;0;0;0;188
20171001;213;Brummen;6964;Brummen;03KS;00;RK Basissch C v Leeuwen;6961ZE;EERBEEK;Gelderland;Bo;Rooms-Katholiek;76806;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;213;Brummen;7361;Apeldoorn;03KS;00;RK Basissch C v Leeuwen;6961ZE;EERBEEK;Gelderland;Bo;Rooms-Katholiek;76806;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;213;Brummen;7371;Apeldoorn;03KS;00;RK Basissch C v Leeuwen;6961ZE;EERBEEK;Gelderland;Bo;Rooms-Katholiek;76806;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;213;Brummen;6957;Rheden;05NS;00;Basisschool De Triangel;6961BE;EERBEEK;Gelderland;Bo;Protestants-Christelijk;84046;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;213;Brummen;6961;Brummen;05NS;00;Basisschool De Triangel;6961BE;EERBEEK;Gelderland;Bo;Protestants-Christelijk;84046;0;30;31;23;21;28;25;20;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;198
20171001;213;Brummen;6964;Brummen;05NS;00;Basisschool De Triangel;6961BE;EERBEEK;Gelderland;Bo;Protestants-Christelijk;84046;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;213;Brummen;6971;Brummen;05NS;00;Basisschool De Triangel;6961BE;EERBEEK;Gelderland;Bo;Protestants-Christelijk;84046;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;213;Brummen;6975;Brummen;05NS;00;Basisschool De Triangel;6961BE;EERBEEK;Gelderland;Bo;Protestants-Christelijk;84046;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;213;Brummen;7371;Apeldoorn;05NS;00;Basisschool De Triangel;6961BE;EERBEEK;Gelderland;Bo;Protestants-Christelijk;84046;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;213;Brummen;6964;Brummen;06NE;00;Basisschool Pancratius;6971BL;BRUMMEN;Gelderland;Bo;Rooms-Katholiek;76806;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;213;Brummen;6971;Brummen;06NE;00;Basisschool Pancratius;6971BL;BRUMMEN;Gelderland;Bo;Rooms-Katholiek;76806;0;20;18;14;18;18;13;18;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20171001;213;Brummen;6974;Brummen;06NE;00;Basisschool Pancratius;6971BL;BRUMMEN;Gelderland;Bo;Rooms-Katholiek;76806;0;2;3;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;213;Brummen;6964;Brummen;06PP;00;Oecumenische Basisschool;6971VD;BRUMMEN;Gelderland;Bo;Algemeen bijzonder;42616;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
