PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;899;Brunssum;  30;ander land;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;899;Brunssum;6125;Sittard-Geleen;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;899;Brunssum;6374;Landgraaf;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;899;Brunssum;6413;Heerlen;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;899;Brunssum;6414;Heerlen;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;899;Brunssum;6431;Heerlen;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;899;Brunssum;6432;Heerlen;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;899;Brunssum;6436;Schinnen;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;899;Brunssum;6441;Brunssum;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;9;15;19;17;22;21;21;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;140
20171001;899;Brunssum;6442;Brunssum;03JL;00;Basissch Titus Brandsma;6441JJ;BRUNSSUM;Limburg;Bo;Rooms-Katholiek;41516;0;3;1;1;3;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
