PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;312;Bunnik;3434;Nieuwegein;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
20171001;312;Bunnik;3438;Nieuwegein;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;312;Bunnik;3607;Stichtse Vecht;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;312;Bunnik;3705;Zeist;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;312;Bunnik;3721;De Bilt;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;312;Bunnik;3734;Zeist;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;312;Bunnik;3951;Utrechtse Heuvelrug;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;312;Bunnik;3956;Utrechtse Heuvelrug;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;312;Bunnik;3961;Wijk bij Duurstede;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;312;Bunnik;3971;Utrechtse Heuvelrug;02RM;01;Beukenrode Onderwijs;3984NK;ODIJK;Utrecht;Vso;Rooms-Katholiek;42605;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
