PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;313;Bunschoten;1251;Laren;05MX;00;School Met De Bijbel;3754NA;EEMDIJK;Utrecht;Bo;Protestants-Christelijk;83136;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;313;Bunschoten;3751;Bunschoten;05MX;00;School Met De Bijbel;3754NA;EEMDIJK;Utrecht;Bo;Protestants-Christelijk;83136;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;313;Bunschoten;3752;Bunschoten;05MX;00;School Met De Bijbel;3754NA;EEMDIJK;Utrecht;Bo;Protestants-Christelijk;83136;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;313;Bunschoten;3754;Bunschoten;05MX;00;School Met De Bijbel;3754NA;EEMDIJK;Utrecht;Bo;Protestants-Christelijk;83136;0;9;6;12;14;11;8;9;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;79
20171001;313;Bunschoten;3751;Bunschoten;08EN;00;Basisschool Kruisrak;3752KV;BUNSCHOTEN-SPAKENBURG;Utrecht;Bo;Openbaar;41481;0;8;7;6;6;5;5;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;313;Bunschoten;3752;Bunschoten;08EN;00;Basisschool Kruisrak;3752KV;BUNSCHOTEN-SPAKENBURG;Utrecht;Bo;Openbaar;41481;0;21;19;12;15;16;16;20;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;137
20171001;313;Bunschoten;3754;Bunschoten;08EN;00;Basisschool Kruisrak;3752KV;BUNSCHOTEN-SPAKENBURG;Utrecht;Bo;Openbaar;41481;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;313;Bunschoten;3751;Bunschoten;09BR;00;Chr Basisschool De Ark;3751VK;BUNSCHOTEN-SPAKENBURG;Utrecht;Bo;Protestants-Christelijk;83149;0;19;27;17;19;16;20;17;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;154
20171001;313;Bunschoten;3752;Bunschoten;09BR;00;Chr Basisschool De Ark;3751VK;BUNSCHOTEN-SPAKENBURG;Utrecht;Bo;Protestants-Christelijk;83149;0;2;10;7;10;7;9;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64
20171001;313;Bunschoten;3754;Bunschoten;09BR;00;Chr Basisschool De Ark;3751VK;BUNSCHOTEN-SPAKENBURG;Utrecht;Bo;Protestants-Christelijk;83149;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;313;Bunschoten;3826;Amersfoort;09BR;00;Chr Basisschool De Ark;3751VK;BUNSCHOTEN-SPAKENBURG;Utrecht;Bo;Protestants-Christelijk;83149;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
