PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;214;Buren;4011;Buren;03HZ;00;Ds Derksenschool;4119LX;RAVENSWAAIJ;Gelderland;Bo;Protestants-Christelijk;41424;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;214;Buren;4023;Buren;03HZ;00;Ds Derksenschool;4119LX;RAVENSWAAIJ;Gelderland;Bo;Protestants-Christelijk;41424;0;1;2;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;214;Buren;4112;Buren;03HZ;00;Ds Derksenschool;4119LX;RAVENSWAAIJ;Gelderland;Bo;Protestants-Christelijk;41424;0;1;0;2;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;214;Buren;4115;Buren;03HZ;00;Ds Derksenschool;4119LX;RAVENSWAAIJ;Gelderland;Bo;Protestants-Christelijk;41424;0;0;2;0;1;0;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;214;Buren;4116;Buren;03HZ;00;Ds Derksenschool;4119LX;RAVENSWAAIJ;Gelderland;Bo;Protestants-Christelijk;41424;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;214;Buren;4119;Buren;03HZ;00;Ds Derksenschool;4119LX;RAVENSWAAIJ;Gelderland;Bo;Protestants-Christelijk;41424;0;1;4;3;5;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;214;Buren;4001;Tiel;04PX;00;Basisschool De Hoeksteen;4021HH;MAURIK;Gelderland;Bo;Protestants-Christelijk;41424;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;214;Buren;4007;Tiel;04PX;00;Basisschool De Hoeksteen;4021HH;MAURIK;Gelderland;Bo;Protestants-Christelijk;41424;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;214;Buren;4011;Buren;04PX;00;Basisschool De Hoeksteen;4021HH;MAURIK;Gelderland;Bo;Protestants-Christelijk;41424;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;214;Buren;4021;Buren;04PX;00;Basisschool De Hoeksteen;4021HH;MAURIK;Gelderland;Bo;Protestants-Christelijk;41424;0;31;27;31;27;23;29;22;22;2;0;0;0;0;0;0;0;0;0;0;0;0;0;214
