PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;383;Castricum;1501;Zaanstad;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1566;Zaanstad;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;383;Castricum;1567;Zaanstad;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;383;Castricum;1814;Alkmaar;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;383;Castricum;1816;Alkmaar;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1823;Alkmaar;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1826;Alkmaar;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;383;Castricum;1827;Alkmaar;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1851;Heiloo;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1852;Heiloo;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1901;Castricum;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1906;Castricum;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;383;Castricum;1911;Uitgeest;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;383;Castricum;1931;Bergen (NH.);00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1934;Bergen (NH.);00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1941;Beverwijk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1942;Beverwijk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1943;Beverwijk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;383;Castricum;1945;Beverwijk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1946;Beverwijk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1947;Beverwijk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1948;Beverwijk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;383;Castricum;1951;Velsen;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;383;Castricum;1962;Heemskerk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;383;Castricum;1963;Heemskerk;00RL;00;Antoniusschool;1901ME;CASTRICUM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
