PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;109;Coevorden;6021;Cranendonck;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;109;Coevorden;7203;Zutphen;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;109;Coevorden;7741;Coevorden;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;0;2;0;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;109;Coevorden;7742;Coevorden;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;0;0;2;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;109;Coevorden;7854;Coevorden;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;5;4;2;3;3;3;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;109;Coevorden;9073;Ferwerderadiel;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;109;Coevorden;9341;Noordenveld;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;109;Coevorden;9418;Midden-Drenthe;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;109;Coevorden;9982;Eemsmond;03EJ;00;De Smeltkroes;7852TJ;WEZUP;Drenthe;Bo;Openbaar;41630;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;109;Coevorden;7751;Coevorden;03LC;00;Chr Basissch De Fontein;7841AZ;SLEEN;Drenthe;Bo;Protestants-Christelijk;41052;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;109;Coevorden;7824;Emmen;03LC;00;Chr Basissch De Fontein;7841AZ;SLEEN;Drenthe;Bo;Protestants-Christelijk;41052;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;109;Coevorden;7841;Coevorden;03LC;00;Chr Basissch De Fontein;7841AZ;SLEEN;Drenthe;Bo;Protestants-Christelijk;41052;0;10;7;8;5;8;7;10;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;60
20171001;109;Coevorden;7843;Coevorden;03LC;00;Chr Basissch De Fontein;7841AZ;SLEEN;Drenthe;Bo;Protestants-Christelijk;41052;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;109;Coevorden;7846;Coevorden;03LC;00;Chr Basissch De Fontein;7841AZ;SLEEN;Drenthe;Bo;Protestants-Christelijk;41052;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
