PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1706;Cranendonck;5654;Eindhoven;03PJ;00;Basissch St Joan;6027PL;SOERENDONK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1706;Cranendonck;6026;Cranendonck;03PJ;00;Basissch St Joan;6027PL;SOERENDONK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1706;Cranendonck;6027;Cranendonck;03PJ;00;Basissch St Joan;6027PL;SOERENDONK;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;18;18;18;16;18;19;10;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20171001;1706;Cranendonck;  10;Belgie;03SH;00;De Wereldwijzer;6023AM;BUDEL-SCHOOT;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1706;Cranendonck;6021;Cranendonck;03SH;00;De Wereldwijzer;6023AM;BUDEL-SCHOOT;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1706;Cranendonck;6023;Cranendonck;03SH;00;De Wereldwijzer;6023AM;BUDEL-SCHOOT;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;7;6;9;9;11;9;12;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;1706;Cranendonck;6024;Cranendonck;03SH;00;De Wereldwijzer;6023AM;BUDEL-SCHOOT;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1706;Cranendonck;  10;Belgie;05GE;00;Basisschool St Andreas;6024AB;BUDEL-DORPLEIN;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1706;Cranendonck;6021;Cranendonck;05GE;00;Basisschool St Andreas;6024AB;BUDEL-DORPLEIN;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1706;Cranendonck;6023;Cranendonck;05GE;00;Basisschool St Andreas;6024AB;BUDEL-DORPLEIN;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1706;Cranendonck;6024;Cranendonck;05GE;00;Basisschool St Andreas;6024AB;BUDEL-DORPLEIN;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;7;7;13;10;17;8;9;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;88
20171001;1706;Cranendonck;  10;Belgie;08DZ;00;De Triolier;6021KD;BUDEL;Noord-Brabant;Bo;Openbaar;41662;0;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1706;Cranendonck;5581;Waalre;08DZ;00;De Triolier;6021KD;BUDEL;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1706;Cranendonck;6021;Cranendonck;08DZ;00;De Triolier;6021KD;BUDEL;Noord-Brabant;Bo;Openbaar;41662;0;34;25;27;25;23;23;23;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;203
20171001;1706;Cranendonck;6023;Cranendonck;08DZ;00;De Triolier;6021KD;BUDEL;Noord-Brabant;Bo;Openbaar;41662;0;3;4;5;3;4;3;7;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20171001;1706;Cranendonck;6024;Cranendonck;08DZ;00;De Triolier;6021KD;BUDEL;Noord-Brabant;Bo;Openbaar;41662;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1706;Cranendonck;6026;Cranendonck;08DZ;00;De Triolier;6021KD;BUDEL;Noord-Brabant;Bo;Openbaar;41662;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1706;Cranendonck;6027;Cranendonck;08DZ;00;De Triolier;6021KD;BUDEL;Noord-Brabant;Bo;Openbaar;41662;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
