PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1684;Cuijk;  20;Duitsland;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5361;Grave;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1684;Cuijk;5363;Grave;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5431;Cuijk;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;1;1;5;4;4;5;8;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;43
20171001;1684;Cuijk;5432;Cuijk;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;1;1;1;4;7;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;1684;Cuijk;5434;Cuijk;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1684;Cuijk;5437;Cuijk;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5439;Cuijk;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1684;Cuijk;5443;Cuijk;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5445;Sint Anthonis;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5451;Mill en Sint Hubert;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;1;0;1;2;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1684;Cuijk;5835;Boxmeer;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;Noord-Brabant;Sbo;Openbaar;41443;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5431;Cuijk;04VT;00;Basissch De Zevensprong;5431JZ;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;14;23;24;16;16;18;13;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;135
20171001;1684;Cuijk;5432;Cuijk;04VT;00;Basissch De Zevensprong;5431JZ;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1684;Cuijk;5434;Cuijk;04VT;00;Basissch De Zevensprong;5431JZ;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5831;Boxmeer;04VT;00;Basissch De Zevensprong;5431JZ;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;6596;Gennep;04VT;00;Basissch De Zevensprong;5431JZ;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5361;Grave;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5431;Cuijk;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;8;6;3;3;6;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;1684;Cuijk;5432;Cuijk;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;64;45;69;73;52;50;41;50;2;0;0;0;0;0;0;0;0;0;0;0;0;0;446
20171001;1684;Cuijk;5433;Cuijk;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;1;1;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1684;Cuijk;5434;Cuijk;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1684;Cuijk;5437;Cuijk;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;3;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1684;Cuijk;5439;Cuijk;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;2;2;1;1;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;1684;Cuijk;5441;Boxmeer;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1684;Cuijk;5443;Cuijk;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5445;Sint Anthonis;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5451;Mill en Sint Hubert;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1684;Cuijk;6542;Nijmegen;05GK;00;Basissch De Waai;5432HK;CUIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5431;Cuijk;06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;3;1;1;2;3;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;1684;Cuijk;5432;Cuijk;06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1684;Cuijk;5434;Cuijk;06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1684;Cuijk;5435;Cuijk;06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;1;1;1;1;2;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1684;Cuijk;5437;Cuijk;06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5441;Boxmeer;06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1684;Cuijk;5853;Bergen (L.);06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;6595;Gennep;06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1684;Cuijk;5431;Cuijk;06XB;00;BS Akkerwinde;5434PD;VIANEN NB;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1684;Cuijk;5432;Cuijk;06XB;00;BS Akkerwinde;5434PD;VIANEN NB;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1684;Cuijk;5434;Cuijk;06XB;00;BS Akkerwinde;5434PD;VIANEN NB;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;7;4;12;11;13;12;7;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;76
20171001;1684;Cuijk;5437;Cuijk;06XB;00;BS Akkerwinde;5434PD;VIANEN NB;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
