PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;148;Dalfsen;7707;Hardenberg;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;1;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;148;Dalfsen;7711;Dalfsen;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;8;19;12;10;8;14;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93
20171001;148;Dalfsen;7715;Staphorst;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;1;0;2;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;148;Dalfsen;7722;Dalfsen;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;0;1;1;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;148;Dalfsen;8028;Zwolle;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;148;Dalfsen;8043;Zwolle;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;148;Dalfsen;7711;Dalfsen;03HM;00;Gereformeerd Basisschool;7721BN;DALFSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;148;Dalfsen;7721;Dalfsen;03HM;00;Gereformeerd Basisschool;7721BN;DALFSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;9;9;12;6;9;11;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77
20171001;148;Dalfsen;7722;Dalfsen;03HM;00;Gereformeerd Basisschool;7721BN;DALFSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;8;7;3;5;4;7;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52
20171001;148;Dalfsen;8141;Raalte;03HM;00;Gereformeerd Basisschool;7721BN;DALFSEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;148;Dalfsen;7722;Dalfsen;04ED;00;PC Basissch De Regenboog;8152BL;LEMELERVELD;Overijssel;Bo;Protestants-Christelijk;42744;0;0;4;0;3;2;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;148;Dalfsen;8102;Raalte;04ED;00;PC Basissch De Regenboog;8152BL;LEMELERVELD;Overijssel;Bo;Protestants-Christelijk;42744;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;148;Dalfsen;8146;Ommen;04ED;00;PC Basissch De Regenboog;8152BL;LEMELERVELD;Overijssel;Bo;Protestants-Christelijk;42744;0;0;0;1;2;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;148;Dalfsen;8148;Ommen;04ED;00;PC Basissch De Regenboog;8152BL;LEMELERVELD;Overijssel;Bo;Protestants-Christelijk;42744;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;148;Dalfsen;8151;Dalfsen;04ED;00;PC Basissch De Regenboog;8152BL;LEMELERVELD;Overijssel;Bo;Protestants-Christelijk;42744;0;6;2;1;4;6;1;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
