PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;310;De Bilt;1213;Hilversum;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1215;Hilversum;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
20171001;310;De Bilt;1216;Hilversum;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;310;De Bilt;1216;Hilversum;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;3
20171001;310;De Bilt;1217;Hilversum;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1218;Hilversum;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2
20171001;310;De Bilt;1223;Hilversum;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1231;Wijdemeren;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1251;Laren;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1273;Huizen;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1274;Huizen;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1276;Huizen;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1402;Gooise Meren;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;1403;Gooise Meren;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;310;De Bilt;1411;Gooise Meren;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;2415;Bodegraven-Reeuwijk;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3401;IJsselstein;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3401;IJsselstein;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3402;IJsselstein;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3402;IJsselstein;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
20171001;310;De Bilt;3404;IJsselstein;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3411;Lopik;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3421;Oudewater;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3421;Oudewater;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3431;Nieuwegein;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;310;De Bilt;3436;Nieuwegein;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;3
20171001;310;De Bilt;3437;Nieuwegein;02RF;00;Berg en Bosch Onderwijs;3723MB;BILTHOVEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;3
