PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1663;De Marne;9963;De Marne;05CJ;00;Hoogholtje;9964AR;WEHE-DEN HOORN;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1663;De Marne;9964;De Marne;05CJ;00;Hoogholtje;9964AR;WEHE-DEN HOORN;Groningen;Bo;Rooms-Katholiek;45000;0;4;3;3;2;6;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;1663;De Marne;9965;De Marne;05CJ;00;Hoogholtje;9964AR;WEHE-DEN HOORN;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1663;De Marne;9966;De Marne;05CJ;00;Hoogholtje;9964AR;WEHE-DEN HOORN;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1663;De Marne;9967;De Marne;05CJ;00;Hoogholtje;9964AR;WEHE-DEN HOORN;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1663;De Marne;9971;De Marne;05CJ;00;Hoogholtje;9964AR;WEHE-DEN HOORN;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1663;De Marne;9973;De Marne;05CJ;00;Hoogholtje;9964AR;WEHE-DEN HOORN;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1663;De Marne;9965;De Marne;07GX;00;OBS Lydinge;9965RE;LEENS;Groningen;Bo;Openbaar;13683;0;3;2;8;2;7;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;1663;De Marne;9966;De Marne;07GX;00;OBS Lydinge;9965RE;LEENS;Groningen;Bo;Openbaar;13683;0;1;1;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1663;De Marne;9971;De Marne;07GX;00;OBS Lydinge;9965RE;LEENS;Groningen;Bo;Openbaar;13683;0;0;1;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
