PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;736;De Ronde Venen;1075;Amsterdam;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;736;De Ronde Venen;1102;Amsterdam;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;736;De Ronde Venen;1104;Amsterdam;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;736;De Ronde Venen;1105;Amsterdam;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;736;De Ronde Venen;1106;Amsterdam;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;1;2;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;736;De Ronde Venen;1107;Amsterdam;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;2;3;3;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;736;De Ronde Venen;1391;De Ronde Venen;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;11;15;29;20;22;22;22;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;162
20171001;736;De Ronde Venen;1396;De Ronde Venen;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;736;De Ronde Venen;3645;De Ronde Venen;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;0;0;2;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;736;De Ronde Venen;8255;Dronten;03SY;00;KBs Pius;1391XL;ABCOUDE;Utrecht;Bo;Rooms-Katholiek;70002;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
