PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1690;De Wolden;7958;De Wolden;05SX;00;PC Bs De Arendsvleugel;7961AW;RUINERWOLD;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1690;De Wolden;7961;De Wolden;05SX;00;PC Bs De Arendsvleugel;7961AW;RUINERWOLD;Drenthe;Bo;Protestants-Christelijk;41196;0;12;8;7;9;8;7;11;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;72
20171001;1690;De Wolden;7963;De Wolden;05SX;00;PC Bs De Arendsvleugel;7961AW;RUINERWOLD;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1690;De Wolden;7975;Westerveld;05SX;00;PC Bs De Arendsvleugel;7961AW;RUINERWOLD;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1690;De Wolden;7776;Hardenberg;06PS;00;Basisschool De Wegwijzer;7927PJ;ALTEVEER GEM DE WOLDEN;Drenthe;Bo;Protestants-Christelijk;60829;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1690;De Wolden;7907;Hoogeveen;06PS;00;Basisschool De Wegwijzer;7927PJ;ALTEVEER GEM DE WOLDEN;Drenthe;Bo;Protestants-Christelijk;60829;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1690;De Wolden;7913;Hoogeveen;06PS;00;Basisschool De Wegwijzer;7927PJ;ALTEVEER GEM DE WOLDEN;Drenthe;Bo;Protestants-Christelijk;60829;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1690;De Wolden;7915;Hoogeveen;06PS;00;Basisschool De Wegwijzer;7927PJ;ALTEVEER GEM DE WOLDEN;Drenthe;Bo;Protestants-Christelijk;60829;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1690;De Wolden;7921;De Wolden;06PS;00;Basisschool De Wegwijzer;7927PJ;ALTEVEER GEM DE WOLDEN;Drenthe;Bo;Protestants-Christelijk;60829;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1690;De Wolden;7925;De Wolden;06PS;00;Basisschool De Wegwijzer;7927PJ;ALTEVEER GEM DE WOLDEN;Drenthe;Bo;Protestants-Christelijk;60829;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
