PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;503;Delft;2271;Leidschendam-Voorburg;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;503;Delft;2272;Leidschendam-Voorburg;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;503;Delft;2273;Leidschendam-Voorburg;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;503;Delft;2282;Rijswijk;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
20171001;503;Delft;2285;Rijswijk;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
20171001;503;Delft;2286;Rijswijk;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;503;Delft;2292;Westland;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;503;Delft;2496;'s-Gravenhage;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;503;Delft;2497;'s-Gravenhage;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
20171001;503;Delft;2498;'s-Gravenhage;00PZ;00;Herman Broerenschool;2612SP;DELFT;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
