PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;10;Delfzijl;9901;Appingedam;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;10;Delfzijl;9902;Appingedam;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;2;2;0;1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;10;Delfzijl;9903;Appingedam;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;10;Delfzijl;9905;Delfzijl;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;10;Delfzijl;9931;Delfzijl;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;10;Delfzijl;9932;Delfzijl;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;3;1;4;1;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;10;Delfzijl;9933;Delfzijl;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;2;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;10;Delfzijl;9934;Delfzijl;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;2;0;3;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;10;Delfzijl;9936;Delfzijl;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;10;Delfzijl;9937;Delfzijl;06EN;00;Basisschool Het Baken;9934JN;DELFZIJL;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
