PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;762;Deurne;5421;Gemert-Bakel;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
20171001;762;Deurne;5422;Gemert-Bakel;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;3
20171001;762;Deurne;5481;Meierijstad;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5583;Waalre;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5654;Eindhoven;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5665;Geldrop-Mierlo;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5667;Geldrop-Mierlo;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5674;Nuenen, Gerwen en Nederwetten;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5701;Helmond;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;5
20171001;762;Deurne;5702;Helmond;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;6
20171001;762;Deurne;5704;Helmond;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5707;Helmond;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5709;Helmond;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;3
20171001;762;Deurne;5731;Geldrop-Mierlo;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5735;Laarbeek;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
20171001;762;Deurne;5751;Deurne;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;4
20171001;762;Deurne;5753;Deurne;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;3;2;7;6;5;0;0;0;0;0;0;0;23
20171001;762;Deurne;5754;Deurne;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5759;Deurne;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5761;Gemert-Bakel;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;3
20171001;762;Deurne;5763;Gemert-Bakel;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;3
20171001;762;Deurne;5911;Venlo;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
20171001;762;Deurne;5914;Venlo;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5988;Peel en Maas;03TV;04;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5753;Deurne;03TV;08;De Korenaer;5753RR;DEURNE;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;1;5;6;5;3;2;0;0;0;0;0;0;0;22
20171001;762;Deurne;5701;Helmond;03UQ;00;RK Basissch De Wegwijzer;5756AW;VLIERDEN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;762;Deurne;5724;Asten;03UQ;00;RK Basissch De Wegwijzer;5756AW;VLIERDEN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5725;Asten;03UQ;00;RK Basissch De Wegwijzer;5756AW;VLIERDEN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5751;Deurne;03UQ;00;RK Basissch De Wegwijzer;5756AW;VLIERDEN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5753;Deurne;03UQ;00;RK Basissch De Wegwijzer;5756AW;VLIERDEN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;762;Deurne;5756;Deurne;03UQ;00;RK Basissch De Wegwijzer;5756AW;VLIERDEN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;12;15;15;15;15;9;16;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;113
20171001;762;Deurne;5751;Deurne;03UR;00;RK Basisschool Zeilberg;5754AH;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;4;6;13;12;9;11;11;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;74
20171001;762;Deurne;5753;Deurne;03UR;00;RK Basisschool Zeilberg;5754AH;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;5;5;1;8;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;762;Deurne;5754;Deurne;03UR;00;RK Basisschool Zeilberg;5754AH;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;13;8;15;14;14;17;14;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20171001;762;Deurne;5977;Horst aan de Maas;03UR;00;RK Basisschool Zeilberg;5754AH;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;762;Deurne;  30;ander land;03VG;00;Gerardusschool;5752AK;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5704;Helmond;03VG;00;Gerardusschool;5752AK;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5751;Deurne;03VG;00;Gerardusschool;5752AK;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;4;1;1;1;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;762;Deurne;5752;Deurne;03VG;00;Gerardusschool;5752AK;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;14;20;16;14;15;12;19;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;119
20171001;762;Deurne;5753;Deurne;03VG;00;Gerardusschool;5752AK;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;762;Deurne;5754;Deurne;03VG;00;Gerardusschool;5752AK;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;8;4;5;6;3;5;10;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;49
20171001;762;Deurne;5763;Gemert-Bakel;03VG;00;Gerardusschool;5752AK;DEURNE;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;762;Deurne;5751;Deurne;06IC;01;SBO De Brigantijn;5751VJ;DEURNE;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;0;0;1;1;3;2;6;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;762;Deurne;5752;Deurne;06IC;01;SBO De Brigantijn;5751VJ;DEURNE;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
