PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;384;Diemen;1024;Amsterdam;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1034;Amsterdam;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;384;Diemen;1097;Amsterdam;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;384;Diemen;1102;Amsterdam;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;1;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;384;Diemen;1103;Amsterdam;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;384;Diemen;1104;Amsterdam;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;384;Diemen;1111;Diemen;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;18;21;19;14;22;21;22;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;153
20171001;384;Diemen;1112;Diemen;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;5;2;2;8;2;4;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;384;Diemen;1113;Diemen;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;384;Diemen;1398;Gooise Meren;03LA;00;Sint-Petrusschool;1111HL;DIEMEN;Noord-Holland;Bo;Rooms-Katholiek;29863;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1018;Amsterdam;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1074;Amsterdam;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1078;Amsterdam;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1097;Amsterdam;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1098;Amsterdam;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;0;0;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;384;Diemen;1102;Amsterdam;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;2;0;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;384;Diemen;1103;Amsterdam;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;1;1;1;2;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;384;Diemen;1104;Amsterdam;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;1;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;384;Diemen;1111;Diemen;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;30;24;27;17;25;20;25;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;194
20171001;384;Diemen;1112;Diemen;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;12;17;17;20;14;16;16;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;122
20171001;384;Diemen;1113;Diemen;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;384;Diemen;1115;Ouder-Amstel;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;2;2;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;384;Diemen;1383;Weesp;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1398;Gooise Meren;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1452;Waterland;04FD;00;Jenaplansch De Nw Kring;1111GH;DIEMEN;Noord-Holland;Bo;Algemeen bijzonder;84567;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;  40;Onbekend;06PH;00;Oec Basisschool De Ark;1112DM;DIEMEN;Noord-Holland;Bo;Samenwerking PC, RK;41595;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1015;Amsterdam;06PH;00;Oec Basisschool De Ark;1112DM;DIEMEN;Noord-Holland;Bo;Samenwerking PC, RK;41595;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;384;Diemen;1019;Amsterdam;06PH;00;Oec Basisschool De Ark;1112DM;DIEMEN;Noord-Holland;Bo;Samenwerking PC, RK;41595;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1064;Amsterdam;06PH;00;Oec Basisschool De Ark;1112DM;DIEMEN;Noord-Holland;Bo;Samenwerking PC, RK;41595;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;384;Diemen;1069;Amsterdam;06PH;00;Oec Basisschool De Ark;1112DM;DIEMEN;Noord-Holland;Bo;Samenwerking PC, RK;41595;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;384;Diemen;1073;Amsterdam;06PH;00;Oec Basisschool De Ark;1112DM;DIEMEN;Noord-Holland;Bo;Samenwerking PC, RK;41595;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
