PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1774;Dinkelland;  20;Duitsland;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1774;Dinkelland;  30;ander land;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1774;Dinkelland;  40;Onbekend;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1774;Dinkelland;7483;Haaksbergen;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1774;Dinkelland;7588;Losser;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1774;Dinkelland;7591;Dinkelland;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;19;18;13;18;11;15;30;19;3;0;0;0;0;0;0;0;0;0;0;0;0;0;146
20171001;1774;Dinkelland;7631;Dinkelland;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1774;Dinkelland;7634;Dinkelland;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1774;Dinkelland;7635;Dinkelland;03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;Overijssel;Bo;Openbaar;41565;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1774;Dinkelland;  20;Duitsland;03SC;00;Willibrord;7591NX;DENEKAMP;Overijssel;Bo;Rooms-Katholiek;75219;0;1;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
