PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;221;Doesburg;6942;Montferland;18LJ;00;Basisschool De Horizon;6981DD;DOESBURG;Gelderland;Bo;Openbaar;41371;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;221;Doesburg;6981;Doesburg;18LJ;00;Basisschool De Horizon;6981DD;DOESBURG;Gelderland;Bo;Openbaar;41371;0;10;19;23;22;17;23;19;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;158
20171001;221;Doesburg;6982;Doesburg;18LJ;00;Basisschool De Horizon;6981DD;DOESBURG;Gelderland;Bo;Openbaar;41371;0;10;7;5;14;16;10;13;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;91
20171001;221;Doesburg;6983;Doesburg;18LJ;00;Basisschool De Horizon;6981DD;DOESBURG;Gelderland;Bo;Openbaar;41371;0;1;2;1;0;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;221;Doesburg;6984;Doesburg;18LJ;00;Basisschool De Horizon;6981DD;DOESBURG;Gelderland;Bo;Openbaar;41371;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;221;Doesburg;6835;Arnhem;18MY;00;OBS De Wetelaar;6983CG;DOESBURG;Gelderland;Bo;Openbaar;41371;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;221;Doesburg;6953;Rheden;18MY;00;OBS De Wetelaar;6983CG;DOESBURG;Gelderland;Bo;Openbaar;41371;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;221;Doesburg;6981;Doesburg;18MY;00;OBS De Wetelaar;6983CG;DOESBURG;Gelderland;Bo;Openbaar;41371;0;0;1;1;2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;221;Doesburg;6982;Doesburg;18MY;00;OBS De Wetelaar;6983CG;DOESBURG;Gelderland;Bo;Openbaar;41371;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;221;Doesburg;6983;Doesburg;18MY;00;OBS De Wetelaar;6983CG;DOESBURG;Gelderland;Bo;Openbaar;41371;0;26;34;30;26;34;25;24;33;8;0;0;0;0;0;0;0;0;0;0;0;0;0;240
20171001;221;Doesburg;6986;Zevenaar;18MY;00;OBS De Wetelaar;6983CG;DOESBURG;Gelderland;Bo;Openbaar;41371;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;221;Doesburg;6823;Arnhem;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;221;Doesburg;6941;Montferland;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;221;Doesburg;6951;Rheden;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;221;Doesburg;6981;Doesburg;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;5;13;10;9;11;11;11;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;81
20171001;221;Doesburg;6982;Doesburg;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;7;13;9;18;12;6;9;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20171001;221;Doesburg;6983;Doesburg;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;4;2;0;3;4;3;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;221;Doesburg;6984;Doesburg;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;221;Doesburg;6986;Zevenaar;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;221;Doesburg;6988;Zevenaar;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;221;Doesburg;6996;Bronckhorst;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;221;Doesburg;6997;Bronckhorst;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;221;Doesburg;7225;Bronckhorst;23ED;00;Montessori Bo Doesburg;6982BA;DOESBURG;Gelderland;Bo;Algemeen bijzonder;30847;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
