PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;58;Dongeradeel;9061;Tytsjerksteradiel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;58;Dongeradeel;9062;Tytsjerksteradiel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;58;Dongeradeel;9063;Tytsjerksteradiel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;58;Dongeradeel;9073;Ferwerderadiel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;0;1;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;58;Dongeradeel;9074;Ferwerderadiel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;58;Dongeradeel;9101;Dongeradeel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;1;1;5;7;8;5;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;58;Dongeradeel;9102;Dongeradeel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;58;Dongeradeel;9103;Dongeradeel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;58;Dongeradeel;9104;Dantumadiel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;1;0;1;3;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;58;Dongeradeel;9105;Dantumadiel;01CE;00;SSBO De Twine;9101AB;DOKKUM;Friesland;Sbo;Protestants-Christelijk;40788;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
