PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;505;Dordrecht;2951;Alblasserdam;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;505;Dordrecht;2953;Alblasserdam;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;505;Dordrecht;2954;Alblasserdam;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2954;Alblasserdam;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;Vso;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2957;Molenwaard;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;505;Dordrecht;2961;Molenwaard;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2973;Molenwaard;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2974;Molenwaard;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2983;Ridderkerk;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2984;Ridderkerk;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2985;Ridderkerk;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;505;Dordrecht;2986;Ridderkerk;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2989;Ridderkerk;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2992;Barendrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;2993;Barendrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;505;Dordrecht;2994;Barendrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;505;Dordrecht;2995;Zwijndrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3161;Albrandswaard;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;Vso;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3162;Albrandswaard;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3264;Korendijk;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3291;Strijen;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;505;Dordrecht;3291;Strijen;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;Vso;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3293;Strijen;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3295;Binnenmaas;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;505;Dordrecht;3295;Binnenmaas;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;Vso;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3297;Binnenmaas;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3299;Binnenmaas;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3311;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;1;1;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;505;Dordrecht;3312;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;1;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;505;Dordrecht;3312;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;Vso;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
20171001;505;Dordrecht;3313;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;1;2;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;505;Dordrecht;3314;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;1;1;2;3;0;5;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;505;Dordrecht;3315;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;1;0;0;0;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;505;Dordrecht;3315;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;Vso;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;505;Dordrecht;3316;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;505;Dordrecht;3317;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;1;3;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;505;Dordrecht;3318;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;So;Algemeen bijzonder;41417;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;505;Dordrecht;3318;Dordrecht;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;Zuid-Holland;Vso;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
