PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1719;Drimmelen;  10;Belgie;03QT;00;Basisschool De Schittering;4927BB;HOOGE ZWALUWE;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1719;Drimmelen;4255;Werkendam;03QT;00;Basisschool De Schittering;4927BB;HOOGE ZWALUWE;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1719;Drimmelen;4761;Moerdijk;03QT;00;Basisschool De Schittering;4927BB;HOOGE ZWALUWE;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1719;Drimmelen;4844;Drimmelen;03QT;00;Basisschool De Schittering;4927BB;HOOGE ZWALUWE;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1719;Drimmelen;4921;Drimmelen;03QT;00;Basisschool De Schittering;4927BB;HOOGE ZWALUWE;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1719;Drimmelen;4924;Drimmelen;03QT;00;Basisschool De Schittering;4927BB;HOOGE ZWALUWE;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1719;Drimmelen;4926;Drimmelen;03QT;00;Basisschool De Schittering;4927BB;HOOGE ZWALUWE;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1719;Drimmelen;4927;Drimmelen;03QT;00;Basisschool De Schittering;4927BB;HOOGE ZWALUWE;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;14;18;20;10;17;18;14;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;123
20171001;1719;Drimmelen;4771;Moerdijk;03VX;00;Bs De Elsenhof;4845EB;WAGENBERG;Noord-Brabant;Bo;Rooms-Katholiek;43967;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1719;Drimmelen;4815;Breda;03VX;00;Bs De Elsenhof;4845EB;WAGENBERG;Noord-Brabant;Bo;Rooms-Katholiek;43967;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
