PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;303;Dronten;1092;Amsterdam;01AC;00;SSBO De Driemaster;8251GP;DRONTEN;Flevoland;Sbo;Algemeen bijzonder;61778;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;303;Dronten;8251;Dronten;01AC;00;SSBO De Driemaster;8251GP;DRONTEN;Flevoland;Sbo;Algemeen bijzonder;61778;0;0;3;2;4;3;3;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;303;Dronten;8252;Dronten;01AC;00;SSBO De Driemaster;8251GP;DRONTEN;Flevoland;Sbo;Algemeen bijzonder;61778;0;0;0;1;0;2;1;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;303;Dronten;8253;Dronten;01AC;00;SSBO De Driemaster;8251GP;DRONTEN;Flevoland;Sbo;Algemeen bijzonder;61778;0;0;0;2;1;2;2;6;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;303;Dronten;8255;Dronten;01AC;00;SSBO De Driemaster;8251GP;DRONTEN;Flevoland;Sbo;Algemeen bijzonder;61778;0;1;0;0;1;1;3;3;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;303;Dronten;8256;Dronten;01AC;00;SSBO De Driemaster;8251GP;DRONTEN;Flevoland;Sbo;Algemeen bijzonder;61778;0;0;2;0;1;2;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;303;Dronten;1336;Almere;06LR;00;Basisschool De Schakel;8251LD;DRONTEN;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;303;Dronten;8251;Dronten;06LR;00;Basisschool De Schakel;8251LD;DRONTEN;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;5;8;4;5;9;4;8;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;303;Dronten;8252;Dronten;06LR;00;Basisschool De Schakel;8251LD;DRONTEN;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;1;3;1;3;5;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;303;Dronten;8253;Dronten;06LR;00;Basisschool De Schakel;8251LD;DRONTEN;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;3;3;3;6;4;3;5;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;303;Dronten;8256;Dronten;06LR;00;Basisschool De Schakel;8251LD;DRONTEN;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;303;Dronten;  30;ander land;09XI;00;Kbs de Toekomst;8251GP;DRONTEN;Flevoland;Bo;Rooms-Katholiek;40950;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;303;Dronten;3897;Zeewolde;09XI;00;Kbs de Toekomst;8251GP;DRONTEN;Flevoland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;303;Dronten;8251;Dronten;09XI;00;Kbs de Toekomst;8251GP;DRONTEN;Flevoland;Bo;Rooms-Katholiek;40950;0;7;10;10;11;8;11;8;13;7;1;0;0;0;0;0;0;0;0;0;0;0;0;86
20171001;303;Dronten;8253;Dronten;09XI;00;Kbs de Toekomst;8251GP;DRONTEN;Flevoland;Bo;Rooms-Katholiek;40950;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;303;Dronten;8256;Dronten;09XI;00;Kbs de Toekomst;8251GP;DRONTEN;Flevoland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;303;Dronten;8263;Kampen;09XI;00;Kbs de Toekomst;8251GP;DRONTEN;Flevoland;Bo;Rooms-Katholiek;40950;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;303;Dronten;8312;Noordoostpolder;09XI;00;Kbs de Toekomst;8251GP;DRONTEN;Flevoland;Bo;Rooms-Katholiek;40950;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;303;Dronten;8251;Dronten;10PT;00;De Wingerd;8256BK;BIDDINGHUIZEN;Flevoland;Bo;Rooms-Katholiek;40950;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
