PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1711;Echt-Susteren;  20;Duitsland;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1711;Echt-Susteren;  30;ander land;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1711;Echt-Susteren;5037;Tilburg;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1711;Echt-Susteren;6041;Roermond;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1711;Echt-Susteren;6042;Roermond;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1711;Echt-Susteren;6043;Roermond;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1711;Echt-Susteren;6049;Roermond;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1711;Echt-Susteren;6051;Maasgouw;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;2;1;1;3;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;1711;Echt-Susteren;6061;Roerdalen;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;1;0;0;0;0;3;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1711;Echt-Susteren;6063;Roerdalen;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1711;Echt-Susteren;6067;Maasgouw;01GE;00;SSBO De Horst;6101NM;ECHT;Limburg;Sbo;Algemeen bijzonder;83280;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
