PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;228;Ede;3771;Barneveld;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;228;Ede;3901;Veenendaal;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;228;Ede;3903;Veenendaal;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;3904;Veenendaal;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;3905;Veenendaal;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;228;Ede;3906;Veenendaal;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;3907;Veenendaal;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;3911;Rhenen;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;228;Ede;3921;Rhenen;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;3925;Scherpenzeel;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;3927;Renswoude;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;3956;Utrechtse Heuvelrug;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;6706;Wageningen;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;228;Ede;6707;Wageningen;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;228;Ede;6708;Wageningen;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;1;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;228;Ede;6709;Wageningen;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;228;Ede;6711;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;228;Ede;6712;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;228;Ede;6713;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;228;Ede;6714;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;1;3;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;228;Ede;6715;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;1;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;228;Ede;6716;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;228;Ede;6717;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;1;2;2;6;2;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;228;Ede;6718;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;228;Ede;6721;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;1;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;228;Ede;6731;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;6741;Ede;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;228;Ede;6833;Arnhem;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;228;Ede;6866;Renkum;01JE;01;De Fonkel;6713KM;EDE GLD;Gelderland;So;Algemeen bijzonder;76689;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
