PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;317;Eemnes;1221;Hilversum;05ZS;00;Basisschool De Zuidwend;3755BG;EEMNES;Utrecht;Bo;Openbaar;41376;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;317;Eemnes;1251;Laren;05ZS;00;Basisschool De Zuidwend;3755BG;EEMNES;Utrecht;Bo;Openbaar;41376;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;317;Eemnes;1261;Blaricum;05ZS;00;Basisschool De Zuidwend;3755BG;EEMNES;Utrecht;Bo;Openbaar;41376;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;317;Eemnes;1363;Almere;05ZS;00;Basisschool De Zuidwend;3755BG;EEMNES;Utrecht;Bo;Openbaar;41376;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;317;Eemnes;3703;Zeist;05ZS;00;Basisschool De Zuidwend;3755BG;EEMNES;Utrecht;Bo;Openbaar;41376;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;317;Eemnes;3755;Eemnes;05ZS;00;Basisschool De Zuidwend;3755BG;EEMNES;Utrecht;Bo;Openbaar;41376;0;18;28;19;23;26;29;26;23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;194
20171001;317;Eemnes;1211;Hilversum;06MB;00;Basissch T Noorderlicht;3755VE;EEMNES;Utrecht;Bo;Protestants-Christelijk;75753;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;317;Eemnes;1251;Laren;06MB;00;Basissch T Noorderlicht;3755VE;EEMNES;Utrecht;Bo;Protestants-Christelijk;75753;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;317;Eemnes;3755;Eemnes;06MB;00;Basissch T Noorderlicht;3755VE;EEMNES;Utrecht;Bo;Protestants-Christelijk;75753;0;4;9;6;6;6;10;8;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;66
20171001;317;Eemnes;3971;Utrechtse Heuvelrug;06MB;00;Basissch T Noorderlicht;3755VE;EEMNES;Utrecht;Bo;Protestants-Christelijk;75753;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;317;Eemnes;1251;Laren;07QU;00;Mariaschool;3755BE;EEMNES;Utrecht;Bo;Rooms-Katholiek;78912;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;317;Eemnes;1252;Laren;07QU;00;Mariaschool;3755BE;EEMNES;Utrecht;Bo;Rooms-Katholiek;78912;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;317;Eemnes;1261;Blaricum;07QU;00;Mariaschool;3755BE;EEMNES;Utrecht;Bo;Rooms-Katholiek;78912;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
