PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1651;Eemsmond;9991;Loppersum;03DG;00;OBS Klinkenborg;9995PN;KANTENS;Groningen;Bo;Openbaar;13683;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1651;Eemsmond;9995;Eemsmond;03DG;00;OBS Klinkenborg;9995PN;KANTENS;Groningen;Bo;Openbaar;13683;0;7;10;6;1;4;3;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;43
20171001;1651;Eemsmond;9998;Eemsmond;03DG;00;OBS Klinkenborg;9995PN;KANTENS;Groningen;Bo;Openbaar;13683;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1651;Eemsmond;9951;Winsum;03EI;00;OBS Usquert;9988SC;USQUERT;Groningen;Bo;Openbaar;13683;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1651;Eemsmond;9988;Eemsmond;03EI;00;OBS Usquert;9988SC;USQUERT;Groningen;Bo;Openbaar;13683;0;12;6;13;10;7;8;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67
20171001;1651;Eemsmond;9989;Eemsmond;03EI;00;OBS Usquert;9988SC;USQUERT;Groningen;Bo;Openbaar;13683;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1651;Eemsmond;9997;Eemsmond;03EI;00;OBS Usquert;9988SC;USQUERT;Groningen;Bo;Openbaar;13683;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1651;Eemsmond;3721;De Bilt;03KP;00;CBS Koning Willem-Alexander;9981KJ;UITHUIZEN;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1651;Eemsmond;9923;Loppersum;03KP;00;CBS Koning Willem-Alexander;9981KJ;UITHUIZEN;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1651;Eemsmond;9981;Eemsmond;03KP;00;CBS Koning Willem-Alexander;9981KJ;UITHUIZEN;Groningen;Bo;Protestants-Christelijk;41261;0;8;8;11;15;6;19;10;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;92
