PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1903;Eijsden-Margraten;1056;Amsterdam;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
20171001;1903;Eijsden-Margraten;5583;Waalre;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1903;Eijsden-Margraten;5913;Venlo;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1903;Eijsden-Margraten;6097;Maasgouw;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1903;Eijsden-Margraten;6129;Stein;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;1;3;2;1;3;3;0;0;0;0;0;0;0;0;13
20171001;1903;Eijsden-Margraten;6135;Sittard-Geleen;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1903;Eijsden-Margraten;6191;Beek;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1903;Eijsden-Margraten;6213;Maastricht;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1903;Eijsden-Margraten;6223;Maastricht;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1903;Eijsden-Margraten;6267;Eijsden-Margraten;02KX;00;Zmok Jozef;6267NL;CADIER EN KEER;Limburg;Vso;Rooms-Katholiek;41821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
