PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;772;Eindhoven;  10;Belgie;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;772;Eindhoven;5508;Veldhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;772;Eindhoven;5509;Veldhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;772;Eindhoven;5511;Eersel;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;772;Eindhoven;5525;Eersel;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;772;Eindhoven;5528;Bladel;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;772;Eindhoven;5581;Waalre;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;772;Eindhoven;5582;Waalre;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;772;Eindhoven;5583;Waalre;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;3;5;2;3;4;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;772;Eindhoven;5591;Heeze-Leende;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;2;2;0;1;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;772;Eindhoven;5611;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;2;1;3;4;0;5;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;772;Eindhoven;5612;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;772;Eindhoven;5613;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;0;1;2;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;772;Eindhoven;5614;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;3;0;2;0;3;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;772;Eindhoven;5615;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;3;3;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;772;Eindhoven;5616;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;4;2;2;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;772;Eindhoven;5621;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;2;0;3;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;772;Eindhoven;5627;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;772;Eindhoven;5629;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;772;Eindhoven;5633;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;772;Eindhoven;5641;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;1;2;2;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;772;Eindhoven;5642;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;4;3;5;2;4;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;772;Eindhoven;5643;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;11;6;3;10;11;10;3;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;62
20171001;772;Eindhoven;5644;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;7;9;12;16;11;9;7;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;82
20171001;772;Eindhoven;5645;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;3;7;4;4;0;3;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;772;Eindhoven;5646;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;5;4;4;1;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;772;Eindhoven;5651;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;0;1;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;772;Eindhoven;5652;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;772;Eindhoven;5653;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;2;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;772;Eindhoven;5654;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;5;1;6;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;772;Eindhoven;5655;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;772;Eindhoven;5658;Eindhoven;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;772;Eindhoven;5662;Geldrop-Mierlo;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;2;1;1;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;772;Eindhoven;5663;Geldrop-Mierlo;01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN;Noord-Brabant;Bo;Antroposofisch;30027;0;2;1;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
