PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;230;Elburg;8081;Elburg;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;230;Elburg;8084;Elburg;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;0;18;17;14;18;15;18;10;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;122
20171001;230;Elburg;8096;Oldebroek;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;230;Elburg;8042;Zwolle;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;230;Elburg;8043;Zwolle;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;1;2;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;230;Elburg;8071;Nunspeet;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;230;Elburg;8081;Elburg;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;7;15;5;9;9;10;11;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20171001;230;Elburg;8084;Elburg;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;1;0;1;1;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;230;Elburg;8085;Elburg;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;230;Elburg;8091;Oldebroek;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;0;1;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;230;Elburg;8094;Oldebroek;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;1;0;1;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;230;Elburg;8095;Oldebroek;00DZ;00;Agnieten-School;8081NB;ELBURG;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
