PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;114;Emmen;6715;Ede;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;114;Emmen;7741;Coevorden;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;114;Emmen;7741;Coevorden;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2
20171001;114;Emmen;7742;Coevorden;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;114;Emmen;7742;Coevorden;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;4
20171001;114;Emmen;7751;Coevorden;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;114;Emmen;7751;Coevorden;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;114;Emmen;7754;Coevorden;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;114;Emmen;7761;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;1;2;0;3;2;1;0;0;0;0;0;0;0;9
20171001;114;Emmen;7764;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;114;Emmen;7765;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;3
20171001;114;Emmen;7766;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;114;Emmen;7766;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
20171001;114;Emmen;7811;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
20171001;114;Emmen;7812;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;114;Emmen;7812;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;3;1;2;1;0;1;0;0;0;0;0;0;0;8
20171001;114;Emmen;7814;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;114;Emmen;7814;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
20171001;114;Emmen;7815;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;114;Emmen;7815;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
20171001;114;Emmen;7823;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;114;Emmen;7823;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;Vso;Openbaar;10249;0;0;0;0;0;0;0;0;0;3;1;2;1;1;1;0;0;0;0;0;0;0;0;9
20171001;114;Emmen;7824;Emmen;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;Drenthe;So;Openbaar;10249;0;0;0;1;3;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8
